ID Caso,Fecha de Audiencia,Tipo de Audiencia,Lugar
79,2021-08-06,Juicio,Huesca
80,2024-01-08,Juicio,Córdoba
81,2025-10-17,Preliminar,Ávila
82,2025-02-23,Intermedia,Pontevedra
83,2026-04-15,Preliminar,Melilla
84,2026-02-25,Preliminar,Valencia
85,2023-10-19,Juicio,Baleares
86,2026-05-06,Preliminar,Granada
87,2025-07-29,Preliminar,Ciudad
88,2025-06-25,Preliminar,Asturias
89,2025-08-03,Preliminar,Alicante
90,2021-11-30,Juicio,La Coruña
91,2025-02-09,Intermedia,Madrid
92,2024-03-04,Intermedia,Teruel
93,2021-02-02,Juicio,Badajoz
94,2024-05-05,Juicio,Alicante
95,2025-09-04,Preliminar,León
96,2025-04-10,Juicio,Teruel
97,2023-02-24,Juicio,Soria
98,2026-04-04,Preliminar,Valladolid
99,2021-12-10,Intermedia,Córdoba
100,2024-08-01,Intermedia,Granada
101,2025-12-12,Preliminar,Jaén
102,2021-09-22,Intermedia,Castellón
103,2023-07-24,Intermedia,Murcia
104,2025-07-16,Preliminar,Ciudad
105,2025-10-17,Preliminar,Murcia
106,2024-10-03,Juicio,Segovia
107,2025-11-17,Preliminar,Córdoba
108,2025-12-05,Preliminar,Guadalajara
109,2024-07-19,Intermedia,Burgos
110,2025-12-22,Preliminar,Álava
111,2024-08-03,Juicio,Huesca
112,2022-03-28,Juicio,Lugo
113,2025-11-02,Preliminar,Tarragona
114,2023-07-04,Juicio,La Coruña
115,2023-10-19,Juicio,Pontevedra
116,2022-06-05,Intermedia,Ciudad
117,2023-03-07,Juicio,Badajoz
118,2023-01-23,Intermedia,Huelva
119,2022-01-28,Juicio,Lleida
120,2023-06-22,Intermedia,Girona
121,2024-02-06,Juicio,Navarra
122,2023-01-19,Juicio,Jaén
123,2024-06-28,Juicio,Zaragoza
124,2024-12-31,Intermedia,Cantabria
125,2023-12-12,Juicio,Ciudad
126,2023-09-03,Juicio,Cantabria
127,2023-10-05,Intermedia,Santa Cruz de Tenerife
128,2024-07-13,Intermedia,Huesca
129,2023-08-08,Intermedia,Burgos
130,2025-06-27,Preliminar,Jaén
131,2023-05-27,Intermedia,Granada
132,2026-04-13,Preliminar,Vizcaya
133,2021-05-30,Juicio,La Coruña
134,2022-04-02,Juicio,Teruel
135,2021-12-28,Juicio,Cantabria
136,2023-06-15,Intermedia,Valladolid
137,2023-04-20,Intermedia,La Rioja
138,2025-08-10,Preliminar,Ávila
139,2026-04-01,Preliminar,Toledo
140,2025-06-19,Preliminar,Burgos
141,2025-04-15,Intermedia,Zamora
142,2024-01-27,Intermedia,Albacete
143,2021-08-31,Juicio,Tarragona
144,2026-05-20,Preliminar,Santa Cruz de Tenerife
145,2023-06-04,Intermedia,Ourense
146,2024-10-17,Intermedia,Burgos
147,2025-06-08,Preliminar,Cantabria
148,2025-10-05,Preliminar,Teruel
149,2024-12-11,Intermedia,Albacete
150,2024-09-19,Intermedia,Córdoba
151,2025-04-18,Intermedia,Cáceres
152,2024-08-11,Intermedia,Vizcaya
153,2025-10-20,Preliminar,Burgos
154,2023-02-09,Intermedia,Pontevedra
155,2023-10-22,Intermedia,Badajoz
156,2024-01-01,Intermedia,Cáceres
157,2023-08-05,Intermedia,Alicante
158,2023-04-02,Juicio,Vizcaya
159,2024-08-14,Juicio,Toledo
160,2025-10-31,Preliminar,Ceuta
161,2025-11-23,Preliminar,Soria
162,2022-08-15,Intermedia,Zamora
163,2025-09-27,Preliminar,Álava
164,2023-08-08,Juicio,La Rioja
165,2021-06-11,Juicio,Vizcaya
166,2022-08-02,Intermedia,Ourense
167,2023-03-22,Juicio,León
168,2025-11-02,Preliminar,Almería
169,2026-01-21,Preliminar,Zamora
170,2025-09-02,Preliminar,Girona
171,2025-10-07,Preliminar,Cádiz
172,2024-07-29,Intermedia,Ávila
173,2024-03-11,Intermedia,Teruel
174,2023-09-09,Juicio,Badajoz
175,2021-08-03,Juicio,Ceuta
176,2025-07-15,Preliminar,Granada
177,2021-01-27,Juicio,León
178,2026-04-02,Preliminar,Castellón
179,2021-08-17,Juicio,Las Palmas
180,2025-12-12,Preliminar,Alicante
181,2022-05-13,Intermedia,Huelva
182,2023-11-08,Juicio,Córdoba
183,2024-03-11,Intermedia,Murcia
184,2023-01-04,Juicio,Lleida
185,2024-11-04,Juicio,Teruel
186,2024-11-18,Intermedia,Toledo
187,2022-06-23,Intermedia,Asturias
188,2022-07-29,Juicio,Soria
189,2026-05-03,Preliminar,Lugo
190,2023-07-21,Intermedia,León
191,2023-02-15,Intermedia,Castellón
192,2024-05-03,Intermedia,La Coruña
193,2025-11-10,Preliminar,Soria
194,2025-07-29,Preliminar,Girona
195,2021-07-04,Juicio,Ourense
196,2026-04-19,Preliminar,Albacete
197,2023-11-23,Juicio,Salamanca
198,2024-11-23,Intermedia,Madrid
199,2024-06-30,Intermedia,Guipúzcoa
200,2025-07-18,Preliminar,Málaga
201,2020-09-26,Juicio,Albacete
202,2022-04-29,Juicio,Las Palmas
203,2022-12-01,Intermedia,Huelva
204,2026-05-06,Preliminar,León
205,2025-12-18,Preliminar,Las Palmas
206,2025-08-24,Preliminar,Toledo
207,2024-05-25,Intermedia,Jaén
208,2025-10-31,Preliminar,Zamora
209,2022-01-16,Juicio,Ávila
210,2025-10-15,Preliminar,Badajoz
211,2026-04-09,Preliminar,Cuenca
212,2023-03-08,Juicio,Málaga
213,2022-10-19,Juicio,León
214,2026-05-19,Preliminar,Baleares
215,2024-01-04,Intermedia,Sevilla
216,2024-06-17,Intermedia,Navarra
217,2025-07-25,Preliminar,Málaga
218,2024-09-02,Intermedia,La Rioja
219,2025-08-11,Preliminar,Melilla
220,2025-09-14,Preliminar,Guipúzcoa
221,2026-03-30,Preliminar,Valencia
222,2026-02-09,Preliminar,Vizcaya
223,2022-07-25,Intermedia,Córdoba
224,2022-07-14,Juicio,Almería
225,2023-04-30,Juicio,Cuenca
226,2025-07-16,Preliminar,Santa Cruz de Tenerife
227,2024-09-04,Intermedia,Valladolid
228,2022-10-22,Intermedia,Valencia
229,2021-09-21,Juicio,Huesca
230,2025-12-16,Preliminar,Huelva
231,2023-05-22,Intermedia,Ourense
232,2026-02-14,Preliminar,Ávila
233,2020-12-22,Intermedia,Salamanca
234,2023-04-23,Juicio,Málaga
235,2024-10-31,Intermedia,Teruel
236,2024-01-16,Juicio,Ourense
237,2026-02-17,Preliminar,Palencia
238,2025-11-17,Preliminar,Baleares
239,2025-05-06,Intermedia,Pontevedra
240,2025-11-08,Preliminar,Las Palmas
241,2025-08-27,Preliminar,Málaga
242,2021-06-26,Juicio,León
243,2025-04-22,Intermedia,Álava
244,2026-01-26,Preliminar,Huesca
245,2023-05-12,Juicio,Córdoba
246,2025-06-24,Preliminar,Huesca
247,2023-05-18,Juicio,Guipúzcoa
248,2024-07-18,Intermedia,Toledo
249,2026-04-29,Preliminar,León
250,2026-02-13,Preliminar,León
251,2026-03-03,Preliminar,Guipúzcoa
252,2026-03-17,Preliminar,Murcia
253,2023-11-24,Juicio,Almería
254,2024-01-14,Juicio,Cantabria
255,2021-08-05,Intermedia,Álava
256,2026-05-01,Preliminar,Sevilla
257,2024-03-05,Intermedia,Ávila
258,2024-10-19,Intermedia,Cádiz
259,2023-06-13,Intermedia,Palencia
260,2021-08-17,Intermedia,Almería
261,2026-01-31,Preliminar,Lleida
262,2024-10-09,Intermedia,Ourense
263,2024-07-14,Intermedia,Ceuta
264,2025-07-12,Preliminar,Zaragoza
265,2024-05-24,Intermedia,La Coruña
266,2025-10-13,Preliminar,Santa Cruz de Tenerife
267,2024-08-23,Intermedia,Huesca
268,2025-06-20,Preliminar,Pontevedra
269,2025-07-02,Preliminar,Cádiz
270,2021-10-02,Juicio,Ourense
271,2025-12-14,Preliminar,Teruel
272,2023-03-03,Juicio,Granada
273,2022-07-19,Intermedia,Tarragona
274,2024-05-05,Juicio,Murcia
275,2023-10-30,Intermedia,Santa Cruz de Tenerife
276,2023-05-17,Juicio,Cuenca
277,2023-06-08,Juicio,Toledo
278,2026-02-21,Preliminar,Salamanca
279,2023-06-12,Intermedia,Córdoba
280,2022-04-07,Juicio,Las Palmas
281,2023-10-22,Intermedia,La Coruña
282,2026-02-10,Preliminar,Zaragoza
283,2026-05-06,Preliminar,Cáceres
284,2024-04-05,Juicio,Madrid
285,2026-03-27,Preliminar,Ávila
286,2025-05-25,Intermedia,Alicante
287,2026-02-09,Preliminar,Burgos
288,2023-09-23,Juicio,Vizcaya
289,2025-03-23,Intermedia,Salamanca
290,2025-10-31,Preliminar,Vizcaya
291,2021-10-10,Juicio,Cáceres
292,2026-04-15,Preliminar,Zamora
293,2025-06-26,Preliminar,Huelva
294,2024-03-14,Juicio,Almería
295,2025-06-30,Preliminar,Ceuta
296,2024-11-26,Intermedia,Salamanca
297,2022-05-31,Juicio,León
298,2025-11-22,Preliminar,Toledo
299,2023-06-20,Intermedia,La Rioja
300,2022-01-24,Intermedia,Ourense
301,2023-07-25,Intermedia,Barcelona
302,2024-11-04,Juicio,Zamora
303,2025-08-28,Preliminar,Sevilla
304,2022-12-26,Juicio,Valladolid
305,2021-08-28,Juicio,Lugo
306,2021-05-05,Juicio,Murcia
307,2023-04-21,Juicio,Ourense
308,2022-11-27,Intermedia,Guipúzcoa
309,2020-09-26,Intermedia,Soria
310,2024-06-22,Intermedia,Baleares
311,2024-06-21,Juicio,Sevilla
312,2024-08-27,Intermedia,Cáceres
313,2021-07-06,Intermedia,Zamora
314,2023-05-10,Intermedia,Badajoz
315,2022-09-04,Juicio,Málaga
316,2023-03-12,Intermedia,Cuenca
317,2023-01-06,Juicio,Albacete
318,2025-09-02,Preliminar,Cantabria
319,2024-02-20,Intermedia,Huelva
320,2024-04-15,Juicio,Álava
321,2023-07-25,Intermedia,León
322,2022-01-11,Juicio,Huelva
323,2023-07-17,Juicio,Palencia
324,2026-01-19,Preliminar,Guipúzcoa
325,2023-07-04,Juicio,Cáceres
326,2024-06-18,Intermedia,Álava
327,2024-03-14,Intermedia,Palencia
328,2026-03-21,Preliminar,Cantabria
329,2024-03-29,Juicio,Zamora
330,2026-05-10,Preliminar,Granada
331,2024-12-10,Intermedia,Valencia
332,2026-02-14,Preliminar,Burgos
333,2023-12-08,Intermedia,Pontevedra
334,2023-11-04,Intermedia,Alicante
335,2021-11-05,Juicio,Cáceres
336,2024-03-11,Intermedia,Lugo
337,2024-01-16,Intermedia,Tarragona
338,2023-02-12,Intermedia,Ciudad
339,2023-09-08,Intermedia,Santa Cruz de Tenerife
340,2022-04-15,Intermedia,Ciudad
341,2024-10-18,Intermedia,Asturias
342,2022-07-18,Juicio,Burgos
343,2023-07-28,Intermedia,Almería
344,2022-05-25,Juicio,Zaragoza
345,2024-09-03,Juicio,Sevilla
346,2025-05-01,Intermedia,Sevilla
347,2023-05-15,Intermedia,Guipúzcoa
348,2024-09-03,Intermedia,Castellón
349,2026-03-10,Preliminar,Alicante
350,2023-04-13,Juicio,Ciudad
351,2026-01-06,Preliminar,Ceuta
352,2024-05-20,Intermedia,Ourense
353,2025-03-21,Intermedia,León
354,2026-05-18,Preliminar,Álava
355,2025-03-21,Juicio,Castellón
356,2026-04-16,Preliminar,Lleida
357,2022-04-04,Intermedia,Jaén
358,2025-08-19,Preliminar,Barcelona
359,2023-08-17,Juicio,La Coruña
360,2022-12-30,Juicio,Ceuta
361,2022-12-23,Juicio,Badajoz
362,2022-12-28,Intermedia,Cuenca
363,2025-02-06,Intermedia,Badajoz
364,2022-11-23,Juicio,Soria
365,2023-12-21,Juicio,Albacete
366,2020-12-04,Juicio,Barcelona
367,2023-03-01,Intermedia,La Coruña
368,2021-05-12,Juicio,Las Palmas
369,2025-07-06,Preliminar,Lleida
370,2026-02-26,Preliminar,Teruel
371,2024-08-08,Intermedia,Navarra
372,2023-07-13,Intermedia,Cádiz
373,2022-10-08,Intermedia,Córdoba
374,2023-07-16,Intermedia,Valencia
375,2024-03-07,Intermedia,Madrid
376,2024-06-12,Juicio,Córdoba
377,2025-09-23,Preliminar,Murcia
378,2024-10-24,Juicio,Guadalajara
379,2024-11-18,Juicio,Baleares
380,2024-04-05,Intermedia,Valladolid
381,2025-11-01,Preliminar,Pontevedra
382,2024-10-29,Intermedia,Toledo
383,2026-01-03,Preliminar,Melilla
384,2026-05-12,Preliminar,Huelva
385,2025-01-08,Intermedia,Ávila
386,2023-12-26,Juicio,Asturias
387,2022-11-15,Juicio,Sevilla
388,2025-07-17,Preliminar,Melilla
389,2024-02-20,Intermedia,Asturias
390,2022-11-25,Juicio,Burgos
391,2021-01-20,Intermedia,Barcelona
392,2024-08-10,Intermedia,León
393,2022-02-19,Intermedia,Guadalajara
394,2026-03-14,Preliminar,Lugo
395,2025-06-19,Preliminar,Huesca
396,2026-03-14,Preliminar,Huelva
397,2025-02-14,Juicio,Guadalajara
398,2025-03-07,Intermedia,Córdoba
399,2025-09-20,Preliminar,Madrid
400,2025-06-25,Preliminar,Cádiz
401,2025-07-13,Preliminar,Almería
402,2026-05-13,Preliminar,Valencia
403,2023-03-07,Juicio,La Rioja
404,2025-12-27,Preliminar,Alicante
405,2023-08-19,Juicio,Santa Cruz de Tenerife
406,2026-03-24,Preliminar,Ourense
407,2026-02-18,Preliminar,Santa Cruz de Tenerife
408,2025-12-13,Preliminar,Soria
409,2026-05-15,Preliminar,Girona
410,2026-05-25,Preliminar,Cáceres
411,2026-02-28,Preliminar,Cantabria
412,2025-10-06,Preliminar,Madrid
413,2024-12-04,Intermedia,Toledo
414,2020-07-07,Juicio,Zamora
415,2023-10-03,Intermedia,Cantabria
416,2024-12-07,Intermedia,Cantabria
417,2025-11-30,Preliminar,Cuenca
418,2022-05-06,Juicio,Asturias
419,2024-08-10,Intermedia,Baleares
420,2024-04-01,Juicio,Guipúzcoa
421,2025-08-16,Preliminar,Albacete
422,2025-08-23,Preliminar,Tarragona
423,2025-10-03,Preliminar,Segovia
424,2024-02-12,Juicio,Tarragona
425,2022-09-13,Intermedia,Zamora
426,2024-03-23,Juicio,Ávila
427,2025-08-14,Preliminar,Lleida
428,2025-08-21,Preliminar,Tarragona
429,2025-07-25,Preliminar,Lleida
430,2022-07-09,Juicio,Las Palmas
431,2026-01-04,Preliminar,Cantabria
432,2022-07-10,Intermedia,Lleida
433,2025-12-15,Preliminar,Málaga
434,2026-01-04,Preliminar,Cáceres
435,2026-02-12,Preliminar,Castellón
436,2023-04-07,Intermedia,Alicante
437,2025-06-29,Preliminar,Toledo
438,2022-03-10,Juicio,Las Palmas
439,2024-03-10,Juicio,Huesca
440,2023-09-06,Intermedia,Albacete
441,2021-08-08,Juicio,Girona
442,2020-10-13,Juicio,Santa Cruz de Tenerife
443,2025-09-19,Preliminar,Huelva
444,2023-12-13,Intermedia,Madrid
445,2023-08-13,Juicio,Cádiz
446,2021-02-26,Juicio,Baleares
447,2022-06-17,Juicio,Málaga
448,2025-09-23,Preliminar,Segovia
449,2024-12-28,Intermedia,Cáceres
450,2025-05-27,Preliminar,León
451,2023-08-08,Juicio,Cantabria
452,2023-07-21,Juicio,Huesca
453,2024-04-15,Juicio,Albacete
454,2021-10-06,Juicio,Melilla
455,2022-06-12,Intermedia,Pontevedra
456,2025-02-22,Intermedia,Madrid
457,2024-04-10,Juicio,Cáceres
458,2025-10-30,Preliminar,Sevilla
459,2025-07-16,Preliminar,Salamanca
460,2024-07-10,Intermedia,Navarra
461,2023-01-12,Juicio,Albacete
462,2025-10-26,Preliminar,Badajoz
463,2020-11-10,Juicio,Badajoz
464,2023-12-28,Intermedia,Pontevedra
465,2022-10-23,Intermedia,Ávila
466,2023-02-07,Juicio,Badajoz
467,2025-11-23,Preliminar,Burgos
468,2024-09-13,Intermedia,Toledo
469,2024-04-08,Intermedia,Zamora
470,2023-12-02,Intermedia,Barcelona
471,2023-06-27,Juicio,Soria
472,2025-07-24,Preliminar,Jaén
473,2024-06-29,Intermedia,Teruel
474,2022-12-04,Juicio,Ávila
475,2022-02-18,Juicio,Guadalajara
476,2024-03-24,Juicio,Córdoba
477,2025-12-25,Preliminar,Asturias
478,2022-12-25,Intermedia,Córdoba
479,2025-07-07,Preliminar,Soria
480,2026-05-17,Preliminar,Santa Cruz de Tenerife
481,2024-01-05,Juicio,Huelva
482,2025-02-16,Intermedia,Las Palmas
483,2024-04-30,Juicio,Huelva
484,2025-08-11,Preliminar,Badajoz
485,2023-10-16,Juicio,Barcelona
486,2024-01-27,Juicio,Santa Cruz de Tenerife
487,2022-11-09,Juicio,La Coruña
488,2025-07-27,Preliminar,Sevilla
489,2025-05-31,Preliminar,Zaragoza
490,2025-03-11,Juicio,Murcia
491,2026-05-13,Preliminar,Albacete
492,2025-07-31,Preliminar,La Rioja
493,2024-08-19,Intermedia,Lleida
494,2024-05-14,Intermedia,Huesca
495,2023-12-01,Juicio,Ourense
496,2024-04-02,Juicio,Santa Cruz de Tenerife
497,2024-06-05,Juicio,Granada
498,2023-11-22,Intermedia,Valladolid
499,2026-03-24,Preliminar,Segovia
500,2025-03-17,Intermedia,Pontevedra
501,2020-12-17,Juicio,Barcelona
502,2025-06-13,Preliminar,Valladolid
503,2026-01-06,Preliminar,Zaragoza
504,2025-09-20,Preliminar,Cuenca
505,2024-04-03,Intermedia,Lleida
506,2021-07-17,Juicio,Baleares
507,2026-01-14,Preliminar,Ourense
508,2025-06-04,Preliminar,León
509,2026-03-24,Preliminar,Huelva
510,2026-01-09,Preliminar,Barcelona
511,2023-12-17,Intermedia,Santa Cruz de Tenerife
512,2024-10-16,Intermedia,Huesca
513,2023-10-04,Juicio,Salamanca
514,2026-03-18,Preliminar,Asturias
515,2021-04-29,Juicio,Navarra
516,2022-10-17,Juicio,Badajoz
517,2023-10-28,Juicio,Pontevedra
518,2025-07-22,Preliminar,Navarra
519,2023-12-21,Intermedia,Álava
520,2021-07-26,Juicio,Ourense
521,2023-10-30,Intermedia,Valencia
522,2025-08-17,Preliminar,Asturias
523,2023-11-27,Juicio,Cuenca
524,2024-01-04,Intermedia,Navarra
525,2024-10-07,Intermedia,Málaga
526,2022-07-10,Juicio,Huelva
527,2023-01-21,Juicio,Tarragona
528,2023-07-03,Juicio,Sevilla
529,2024-03-25,Intermedia,Girona
530,2025-06-17,Preliminar,Las Palmas
531,2023-08-18,Juicio,Lugo
532,2024-05-03,Intermedia,Lugo
533,2024-07-29,Juicio,Álava
534,2023-06-19,Intermedia,Tarragona
535,2026-04-13,Preliminar,Girona
536,2026-01-02,Preliminar,Madrid
537,2025-07-04,Preliminar,Ciudad
538,2025-09-30,Preliminar,Madrid
539,2024-01-20,Juicio,Vizcaya
540,2025-01-22,Intermedia,Cádiz
541,2026-03-28,Preliminar,Asturias
542,2024-11-28,Intermedia,Girona
543,2024-09-10,Intermedia,Las Palmas
544,2021-10-20,Juicio,Cáceres
545,2022-12-24,Juicio,Huesca
546,2023-07-20,Juicio,Almería
547,2024-05-13,Juicio,Barcelona
548,2022-09-26,Juicio,Cáceres
549,2024-11-25,Intermedia,Las Palmas
550,2026-04-01,Preliminar,Álava
551,2026-04-28,Preliminar,Toledo
552,2025-11-23,Preliminar,Almería
553,2021-05-18,Juicio,Murcia
554,2026-05-01,Preliminar,León
555,2025-09-17,Preliminar,Segovia
556,2025-01-21,Intermedia,Guadalajara
557,2024-05-15,Intermedia,Guipúzcoa
558,2023-11-24,Intermedia,Tarragona
559,2024-07-21,Juicio,Santa Cruz de Tenerife
560,2025-12-02,Preliminar,La Coruña
561,2023-11-09,Intermedia,Alicante
562,2025-11-16,Preliminar,Tarragona
563,2023-06-11,Juicio,Jaén
564,2023-12-03,Intermedia,Girona
565,2023-10-05,Juicio,Baleares
566,2021-02-27,Juicio,Palencia
567,2025-06-04,Preliminar,Las Palmas
568,2021-12-25,Juicio,Teruel
569,2025-09-26,Preliminar,Ceuta
570,2021-04-04,Juicio,Cádiz
571,2024-02-10,Juicio,León
572,2024-02-29,Juicio,Sevilla
573,2024-05-25,Juicio,Baleares
574,2024-11-22,Juicio,León
575,2023-06-01,Juicio,Cáceres
576,2022-05-30,Juicio,Albacete
577,2021-10-16,Juicio,Cádiz
578,2024-10-25,Intermedia,Cádiz
579,2023-12-24,Juicio,Guadalajara
580,2025-08-05,Preliminar,Castellón
581,2020-09-14,Juicio,Lugo
582,2024-01-01,Juicio,Ciudad
583,2022-11-18,Juicio,Salamanca
584,2022-09-27,Juicio,Santa Cruz de Tenerife
585,2022-05-08,Juicio,León
586,2024-10-08,Intermedia,Madrid
587,2024-05-22,Juicio,La Coruña
588,2023-04-03,Intermedia,Navarra
589,2025-12-14,Preliminar,Ourense
590,2025-09-04,Preliminar,León
591,2023-12-17,Intermedia,Sevilla
592,2022-06-20,Juicio,Teruel
593,2025-08-29,Preliminar,Alicante
594,2025-08-04,Preliminar,Melilla
595,2023-11-30,Intermedia,Burgos
596,2023-04-09,Intermedia,Guadalajara
597,2025-11-09,Preliminar,La Rioja
598,2021-08-02,Juicio,Alicante
599,2023-05-03,Juicio,Albacete
600,2023-08-20,Juicio,Lugo
601,2025-09-15,Preliminar,Toledo
602,2022-05-23,Juicio,Soria
603,2026-03-24,Preliminar,Tarragona
604,2022-05-03,Intermedia,Palencia
605,2025-12-15,Preliminar,Asturias
606,2024-06-24,Juicio,Granada
607,2024-12-05,Intermedia,Soria
608,2025-07-20,Preliminar,Sevilla
609,2026-02-03,Preliminar,Santa Cruz de Tenerife
610,2021-09-22,Juicio,Sevilla
611,2025-08-26,Preliminar,Girona
612,2023-08-03,Juicio,Murcia
613,2022-05-22,Juicio,Segovia
614,2022-10-14,Intermedia,Baleares
615,2022-03-18,Juicio,Burgos
616,2024-08-11,Juicio,Baleares
617,2025-01-31,Intermedia,La Coruña
618,2024-04-19,Juicio,Lugo
619,2026-01-09,Preliminar,Álava
620,2022-03-05,Juicio,Cuenca
621,2026-01-06,Preliminar,Cuenca
622,2021-05-15,Intermedia,Burgos
623,2025-09-03,Preliminar,Las Palmas
624,2024-07-14,Juicio,Navarra
625,2023-09-06,Intermedia,León
626,2023-08-20,Juicio,León
627,2021-03-02,Intermedia,Barcelona
628,2024-03-18,Intermedia,Valladolid
629,2025-01-25,Juicio,Málaga
630,2025-06-08,Preliminar,Granada
631,2022-10-14,Juicio,Valencia
632,2025-12-14,Preliminar,Lugo
633,2026-01-07,Preliminar,Huesca
634,2022-08-15,Juicio,Sevilla
635,2020-10-18,Intermedia,Valladolid
636,2023-08-23,Juicio,Vizcaya
637,2021-02-20,Juicio,Santa Cruz de Tenerife
638,2025-11-17,Preliminar,Cáceres
639,2022-09-03,Intermedia,Albacete
640,2026-03-16,Preliminar,Palencia
641,2023-09-15,Juicio,Vizcaya
642,2022-09-22,Juicio,Cuenca
643,2021-10-07,Juicio,León
644,2024-08-23,Juicio,Almería
645,2022-12-20,Juicio,Lleida
646,2025-12-28,Preliminar,Melilla
647,2024-07-08,Intermedia,La Coruña
648,2024-11-17,Intermedia,Santa Cruz de Tenerife
649,2021-03-28,Intermedia,Alicante
650,2022-05-06,Juicio,Tarragona
651,2022-03-17,Juicio,Soria
652,2025-02-07,Intermedia,Toledo
653,2023-03-25,Juicio,Málaga
654,2026-01-10,Preliminar,Almería
655,2021-12-16,Juicio,Navarra
656,2021-02-17,Juicio,Valencia
657,2024-05-08,Intermedia,Cuenca
658,2025-11-25,Preliminar,Cuenca
659,2021-12-15,Intermedia,La Rioja
660,2025-06-19,Preliminar,Alicante
661,2025-06-26,Preliminar,Sevilla
662,2023-12-14,Juicio,Cantabria
663,2024-08-01,Intermedia,Santa Cruz de Tenerife
664,2026-05-21,Preliminar,Tarragona
665,2021-04-08,Juicio,Cádiz
666,2025-07-17,Preliminar,Melilla
667,2023-01-17,Intermedia,Valencia
668,2026-04-21,Preliminar,Córdoba
669,2023-07-01,Juicio,Huelva
670,2024-03-17,Juicio,La Coruña
671,2025-10-01,Preliminar,Valencia
672,2025-04-20,Juicio,Palencia
673,2026-03-05,Preliminar,Valladolid
674,2022-03-20,Intermedia,Tarragona
675,2026-03-01,Preliminar,Sevilla
676,2021-11-26,Intermedia,Salamanca
677,2022-05-01,Juicio,Valladolid
678,2026-04-21,Preliminar,Lugo
679,2022-07-03,Juicio,Asturias
680,2022-11-20,Juicio,Sevilla
681,2022-01-14,Juicio,Jaén
682,2026-04-04,Preliminar,Burgos
683,2024-06-06,Juicio,Zamora
684,2021-12-04,Juicio,Salamanca
685,2025-10-25,Preliminar,Granada
686,2024-10-24,Intermedia,Baleares
687,2023-12-20,Intermedia,Navarra
688,2024-05-22,Juicio,Alicante
