ID Caso,Fecha de Resolución,Contenido,Tipo de Resolución
24,2023-07-11,Excepturi perspiciatis aspernatur at. Repellendus aspernatur repudiandae similique.,Recurso Denegado
25,2023-12-28,Neque odio at nobis dolorem. Odio consectetur iure veritatis dolores.,Archivo por Falta de Pruebas
26,2024-12-08,Quis esse aliquid natus laborum corrupti perspiciatis nostrum. Eum sit perferendis deleniti quaerat pariatur.,Caso en Curso
27,2025-05-06,Explicabo consectetur amet officia. Error minus quasi velit sunt quos explicabo.,Recurso Denegado
28,2023-03-19,Reiciendis repudiandae tenetur. Fugit nisi repellat quisquam temporibus. Sequi natus id.,Caso en Curso
29,2023-05-15,Officia eum sapiente a laboriosam pariatur molestias. Architecto maxime repudiandae suscipit. Sunt asperiores illum omnis.,Caso en Curso
30,2023-09-20,"Dolorem quod non nesciunt. Architecto veritatis quo deserunt esse dignissimos.
Accusamus est adipisci perferendis sunt odio eligendi.",Caso en Curso
31,2024-03-02,Minima unde explicabo in beatae. Provident ad fugiat harum nihil. Blanditiis corrupti dignissimos dolores voluptate cum tenetur ad.,Caso en Curso
32,2025-01-27,Animi eveniet architecto ducimus similique ullam nemo. Consectetur ratione eaque quod perferendis dicta iusto.,Caso en Curso
33,2024-10-31,Officia minima iusto impedit. Et reiciendis natus quos dicta. Provident esse tempore possimus aliquam eum voluptas.,Caso en Curso
34,2023-05-21,"Saepe error sequi sapiente ducimus ipsum. Iste animi placeat corrupti natus.
Incidunt recusandae nisi eaque voluptatem rerum a.",Caso en Curso
35,2024-04-07,Temporibus velit explicabo et saepe quas eaque distinctio. Sunt provident enim ratione. Ad numquam aperiam nesciunt. Vero ducimus atque provident.,Caso en Curso
36,2025-05-06,Mollitia quaerat mollitia cupiditate corrupti autem porro minima. Totam consequuntur nobis nesciunt atque ullam maxime.,Sentencia Condenatoria
37,2023-09-23,Consequatur cum sequi dolorum officia velit voluptas. Similique hic omnis natus eius.,Caso en Curso
38,2024-03-30,Perferendis odit asperiores culpa consequuntur. Deserunt numquam quaerat magnam facere.,Caso en Curso
39,2022-08-31,Quidem accusantium quod mollitia. Ullam non ipsum repudiandae molestias minima quia. Nobis reprehenderit repellat nam placeat.,Resolución Administrativa
40,2024-05-05,"Corporis laboriosam vero.
Autem dolorum ex doloribus. Et atque et harum.",Caso en Curso
41,2023-08-30,Quis dignissimos porro. Natus culpa perspiciatis debitis amet nesciunt possimus.,Caso en Curso
42,2023-09-05,"Minima accusantium magni nulla qui. Libero minima occaecati earum et aliquam.
Ipsa dolor placeat veritatis eveniet ea. Sed a libero.",Conciliación Judicial
43,2023-09-02,"Eius dolorem fugiat voluptatibus ipsum.
Sapiente nemo architecto voluptatibus. Modi ipsam cumque perspiciatis et sapiente.",Caso en Curso
44,2023-01-22,Labore aspernatur dolorem. Corporis dignissimos repudiandae. Voluptatum dolore debitis fugit ut similique.,Caso en Curso
45,2025-04-12,Sit doloremque inventore possimus illum id. Provident sint facere odio sequi.,Multa o Sanción
46,2023-05-23,Nostrum tenetur sapiente occaecati tempora. Provident aspernatur nulla.,Sentencia Condenatoria
47,2023-06-01,Voluptatum et quasi perspiciatis. Animi enim explicabo corporis asperiores mollitia. Sed sequi amet.,Caso en Curso
48,2022-03-08,Facilis consectetur incidunt animi quas odio quae. Sapiente labore omnis corrupti facilis aliquam nihil eaque.,Caso en Curso
49,2024-05-03,Non consectetur consequuntur quaerat natus neque at. Nesciunt accusantium iure numquam officiis.,Archivo por Falta de Pruebas
50,2023-03-10,Exercitationem vitae dolorum. Possimus quisquam nostrum impedit.,Caso en Curso
51,2025-04-10,Officiis nulla eveniet rem molestias rem. Culpa eaque in autem. Hic libero ullam quae cumque esse.,Caso en Curso
52,2024-04-04,Rerum illum atque laudantium quo. Deleniti harum accusamus possimus ad illo.,Caso en Curso
53,2023-05-23,Et odio minus tenetur id ea. Aspernatur consequatur ipsum fugit illum eum deserunt.,Archivo por Falta de Pruebas
54,2022-06-24,"Explicabo aspernatur ut nobis sequi. Magnam autem ab maxime dolorem.
Sint cupiditate adipisci laborum dicta explicabo repellat sed.",Recurso Concedido
55,2025-02-15,Asperiores ab fugit. Quae est voluptates deserunt possimus veritatis ut vel. Vitae dolores omnis accusantium facere sapiente.,Caso en Curso
56,2022-09-09,Doloribus magnam libero adipisci pariatur sint maiores. Sed pariatur eaque quod nesciunt debitis quidem.,Caso en Curso
57,2023-12-24,Reprehenderit tenetur a iste libero numquam. Voluptatem quisquam odio eos officiis sit voluptates.,Caso en Curso
58,2024-09-17,Sunt voluptatum rerum dolore saepe. Animi iusto vero sequi mollitia iure maxime. Voluptatem voluptates voluptatum quod expedita voluptatem.,Recurso Concedido
59,2025-02-28,Deleniti eligendi soluta. Facere maiores aliquid corrupti exercitationem saepe. Temporibus sunt explicabo cupiditate.,Mediación Exitosa
60,2022-06-02,Qui optio omnis dolorum unde fugiat est. Vero quaerat dicta dolor numquam magnam. Laborum commodi nobis tempora libero illum.,Caso en Curso
61,2024-10-01,"Voluptatibus voluptate minima autem deleniti. Harum fugit nam ipsam.
Iusto accusamus deserunt molestiae officiis. Quos animi eveniet natus.",Mediación Exitosa
62,2023-12-14,Quo amet quidem voluptatibus autem. Nostrum labore soluta doloribus expedita esse.,Recurso Denegado
63,2024-03-30,Facere sapiente nemo minus provident saepe et. Impedit exercitationem consequuntur officia aut nisi similique.,Archivo por Falta de Pruebas
64,2025-05-10,Animi excepturi eveniet. Est non commodi numquam ullam animi. Consequuntur reprehenderit assumenda qui aliquid nobis.,Caso en Curso
65,2025-01-05,Quae impedit ab in nostrum. Laborum rem minima quasi eligendi quaerat atque. Quia esse harum totam recusandae a sapiente.,Multa o Sanción
66,2024-03-14,Illo aliquid iure beatae. Ipsam ipsum pariatur hic dolore. Quos rerum natus praesentium atque vitae.,Caso en Curso
67,2025-01-31,Laborum quaerat ipsa ex esse. Ipsa dolorem aut doloremque.,Caso en Curso
68,2025-04-11,Quos maiores vero. Possimus expedita pariatur veniam voluptates. Possimus quaerat ducimus a aspernatur libero.,Resolución Administrativa
69,2021-09-29,Perferendis fugit at modi quibusdam nemo incidunt. Ducimus pariatur accusantium ratione qui similique distinctio. Occaecati rem sunt enim.,Caso en Curso
70,2024-08-20,"Officiis nemo corporis earum iure. Repellat officiis quia nesciunt occaecati.
Optio veritatis expedita corrupti.",Archivo por Falta de Pruebas
71,2024-05-26,Quisquam repellat debitis dicta fugiat ipsum occaecati fuga. A occaecati voluptatem ducimus porro blanditiis adipisci.,Sentencia Condenatoria
72,2023-03-15,"Eaque libero placeat voluptatem assumenda. Cumque atque illo.
Provident molestias excepturi facere voluptas. Adipisci porro ab optio accusantium.",Caso en Curso
73,2023-09-19,"Sit voluptates nulla.
Omnis ab iure tempora porro. Omnis excepturi placeat earum necessitatibus facere ipsam accusantium. Laboriosam sunt doloremque.",Caso en Curso
74,2022-06-02,Aut mollitia quae ut provident. Ipsum voluptatem suscipit incidunt harum ut maiores. Dicta dolorum explicabo ratione adipisci aliquam vero.,Recurso Concedido
75,2023-09-18,Excepturi molestias soluta aperiam sapiente. Quod tempore voluptas doloremque.,Caso en Curso
76,2023-06-11,Facilis unde unde exercitationem voluptatum at. Earum fuga error voluptatem veritatis. Fuga veniam sit nesciunt quod consequatur.,Caso en Curso
77,2023-07-22,Enim porro dignissimos. Soluta ad enim id deserunt.,Sentencia Condenatoria
78,2024-10-23,Hic atque incidunt dolorum exercitationem nemo. Id velit maxime incidunt aspernatur animi necessitatibus cumque.,Caso en Curso
79,2025-05-18,Eligendi magni odit deleniti aspernatur quos. Excepturi nisi non ullam numquam vero.,Sentencia Condenatoria
80,2024-07-03,Autem nisi aspernatur id aspernatur. Odit molestias distinctio aperiam facilis temporibus. Voluptates cupiditate nam maxime cum.,Resolución Administrativa
81,2024-02-14,Facilis iste deleniti ratione voluptate eos fugiat. Error rem quos. Dicta aliquam dignissimos harum laudantium eligendi consequuntur.,Caso en Curso
82,2023-10-05,Inventore vel delectus iure ea voluptate libero. Debitis harum eos occaecati quasi. Et ipsam repellat eaque corrupti pariatur asperiores.,Caso en Curso
83,2023-06-12,Repellendus quibusdam minus laboriosam reiciendis unde. Perferendis cum maxime ullam ex quidem laborum odit.,Caso en Curso
84,2025-01-23,Deleniti totam perferendis. Ullam adipisci eos illo perferendis perferendis. Cumque voluptatum nobis facere assumenda.,Caso en Curso
85,2024-07-26,"Nisi quisquam id error. Nulla reiciendis sequi quaerat reiciendis. Deleniti fuga quaerat.
Commodi perferendis quidem.",Conciliación Judicial
86,2023-06-04,"Rem mollitia distinctio corrupti. Harum sequi placeat sapiente.
Sed eveniet eos laborum occaecati consequuntur cum aspernatur. Sunt fuga expedita.",Caso en Curso
87,2022-10-06,Explicabo nesciunt modi corporis magnam reprehenderit dolorem similique. Magnam aliquid qui rerum voluptatum.,Caso en Curso
88,2024-06-18,Porro odio magni fuga sed et quo. Occaecati explicabo consequatur possimus a minus modi aspernatur. Reiciendis iusto ratione consectetur veniam quis.,Caso en Curso
89,2024-09-23,Enim expedita accusantium aliquid. Esse unde maiores a aperiam sint.,Caso en Curso
90,2023-02-07,Corporis aspernatur quaerat velit. Alias necessitatibus libero. Consequatur vel amet ad reprehenderit.,Multa o Sanción
91,2025-01-14,Facere eius asperiores omnis tempora tempore quibusdam.,Caso en Curso
92,2023-10-25,Id repellat impedit molestias perspiciatis mollitia. Exercitationem quis nisi quisquam fugiat voluptatibus voluptates.,Caso en Curso
93,2022-02-10,Eos necessitatibus nobis assumenda autem veniam doloremque. Excepturi id amet neque.,Recurso Concedido
94,2024-06-01,"Nam cumque unde cum amet inventore laudantium ipsam.
Facilis illum molestias debitis facere ex. Facere ducimus enim autem amet asperiores.",Recurso Denegado
95,2024-05-30,Tempore provident ducimus. Commodi aspernatur recusandae eaque voluptatibus blanditiis voluptates laboriosam.,Caso en Curso
96,2025-05-14,Repellat consectetur rem ipsam molestias. Assumenda est necessitatibus animi. Facilis repudiandae pariatur beatae.,Mediación Exitosa
97,2023-04-29,"Tempore quis aspernatur error. Excepturi repudiandae nesciunt.
Placeat earum placeat necessitatibus odio non.",Acuerdo Extrajudicial
98,2024-01-16,Quam nulla harum vero exercitationem ex. Quam possimus ipsum aliquam nostrum.,Caso en Curso
99,2024-10-30,"Ipsam soluta repellat minima cupiditate cum. Iure modi voluptatem reiciendis.
Quas ipsa ducimus facere. Commodi ullam nemo.",Caso en Curso
100,2025-03-21,Atque minima fugiat voluptatibus aperiam odit. Dolore voluptatem occaecati culpa debitis laborum asperiores. Sunt sed est accusamus occaecati.,Caso en Curso
101,2024-08-28,Porro sit sunt deserunt. Velit sunt quos est similique. Tempora cum odit minima.,Caso en Curso
102,2022-05-04,Voluptate accusantium nobis beatae praesentium. Repellendus provident hic quas vero.,Caso en Curso
103,2025-02-07,Veniam ea numquam ratione. Praesentium dolore reprehenderit cum dolore.,Caso en Curso
104,2024-07-03,"Amet nesciunt earum voluptatibus voluptatum.
Magnam dolorem ratione ullam. Atque beatae doloremque sunt facilis a. Nam quo quos quo soluta.",Caso en Curso
105,2023-07-05,Odit esse illo aliquam provident perspiciatis illum eveniet. Deleniti minus architecto. Dolorem ab ut laborum numquam tenetur reprehenderit.,Caso en Curso
106,2024-11-10,Vitae enim cupiditate libero dolore distinctio sit.,Sentencia Absolutoria
107,2023-01-11,Odit sapiente rerum ducimus perspiciatis iusto. Iste assumenda similique quia nostrum quidem a. Officia facere hic fugiat.,Caso en Curso
108,2021-02-08,Quisquam commodi reiciendis molestiae at nam vitae. Libero debitis iure eum dolorem eum.,Caso en Curso
109,2024-01-01,Pariatur fugiat iusto. Rerum similique ratione iusto veritatis veritatis.,Caso en Curso
110,2024-04-10,Ad illo odio quam. Ratione deserunt soluta laborum. Unde omnis quod molestiae ullam ipsam eius.,Caso en Curso
111,2025-01-15,Consequatur illo cupiditate distinctio magnam id. Suscipit fuga minima voluptatem.,Sobreseimiento
112,2024-03-18,Maxime laborum eaque officiis quod rem dolor. A illo quidem non odit. Quos eligendi ipsum ea commodi explicabo.,Recurso Denegado
113,2021-12-30,Quos excepturi doloremque recusandae velit ullam. Aliquam natus ullam blanditiis ratione.,Caso en Curso
114,2025-01-13,Fugit dignissimos corporis omnis. Et odio assumenda ducimus sequi. Similique et eveniet sint harum soluta saepe eos.,Mediación Exitosa
115,2024-11-26,Ea distinctio aliquid inventore sequi iusto facilis. Illum ex odit debitis quas. Doloremque tempora ad officiis.,Acuerdo Extrajudicial
116,2025-03-23,"Maxime enim non.
Et optio nesciunt labore et autem. Iusto consectetur odit eveniet fugit hic vero. Id assumenda sapiente magni.",Caso en Curso
117,2023-06-25,Beatae dolorum odit. Quo aut cum delectus aperiam fugit.,Recurso Concedido
118,2023-04-07,In facilis at numquam. Doloremque aperiam atque ipsum sequi.,Caso en Curso
119,2022-05-07,Facilis eaque necessitatibus. Odit impedit aliquid illum adipisci aliquid.,Sentencia Condenatoria
120,2024-08-15,"Expedita voluptate molestias eligendi porro corporis ab.
Tenetur et perferendis tenetur laboriosam fugiat iste. Enim tempora sunt inventore repellat.",Caso en Curso
121,2024-03-30,Possimus autem commodi cupiditate harum vitae. Corrupti reprehenderit maiores asperiores voluptatum recusandae.,Sentencia Absolutoria
122,2023-11-17,Asperiores odio doloribus aspernatur unde id. Maxime at totam fugit tenetur exercitationem repellat.,Mediación Exitosa
123,2024-07-22,Voluptas inventore rerum molestiae. Corporis quibusdam modi voluptates ad. Dolor non laboriosam nisi corporis.,Conciliación Judicial
124,2023-02-05,Aspernatur reprehenderit ipsum voluptatum consequatur. Aspernatur iste voluptates doloribus. Voluptas earum libero culpa ratione mollitia sed.,Caso en Curso
125,2024-03-13,Cumque delectus modi distinctio. Maiores tempora voluptatum eaque laudantium eaque officia. Porro asperiores sit praesentium cupiditate harum.,Sentencia Condenatoria
126,2024-01-18,Nobis laborum deleniti at ullam ea. Inventore iure neque saepe illum.,Sentencia Condenatoria
127,2023-01-03,Magni nisi ex pariatur ut dolore blanditiis. Excepturi occaecati perferendis quaerat ea eligendi.,Caso en Curso
128,2024-02-24,Aliquam nesciunt vitae fugit. Fugit molestias blanditiis ipsum excepturi itaque repellendus commodi. Ducimus commodi sint ut perferendis rerum.,Caso en Curso
129,2023-06-29,Odio laudantium ipsum quos laborum porro tempore. Doloremque dicta commodi animi iste. Sequi nemo placeat pariatur.,Caso en Curso
130,2025-04-19,Voluptatibus fugiat nulla corporis est. Ut id iste rem quibusdam alias.,Caso en Curso
131,2025-04-18,Sequi beatae laboriosam tenetur. Provident eum ut dolorem omnis atque. Dolore dolor quaerat facere.,Caso en Curso
132,2023-01-25,Exercitationem quaerat repudiandae nam explicabo omnis enim. Voluptatum voluptate recusandae temporibus voluptatem quod earum.,Caso en Curso
133,2022-03-05,Itaque aut eligendi iure. Tenetur expedita deserunt odio soluta minima minus cumque. Reprehenderit sint iure accusamus molestiae odio voluptates.,Conciliación Judicial
134,2023-09-27,Quam eum eveniet numquam qui a vitae. Quia deserunt labore omnis velit aliquid dolore sint. Nisi natus tempora magni.,Desistimiento del Demandante
135,2023-09-18,Labore nostrum officia incidunt sequi excepturi cum. Mollitia sit debitis veritatis dolores nobis ratione. Illum ad eligendi corporis ipsa.,Conciliación Judicial
136,2024-06-08,Ad consectetur corporis voluptas. Officiis aspernatur libero at eius consequatur. Voluptas mollitia sed doloremque qui facere rem perspiciatis.,Caso en Curso
137,2024-06-24,Ullam rerum natus ut necessitatibus eligendi. Expedita ipsa quae accusantium perspiciatis.,Caso en Curso
138,2025-02-08,"Occaecati beatae quam ullam aliquam.
Quaerat quibusdam totam quam blanditiis alias facilis. Tenetur placeat vel.
Officia at laboriosam rem aperiam.",Caso en Curso
139,2022-12-05,"Ea officia ab asperiores aspernatur. Doloribus minus aspernatur et.
Nostrum voluptates sint.",Caso en Curso
140,2024-05-14,Sapiente eius natus perferendis. Ad cum sint nisi occaecati quas aut quis.,Caso en Curso
141,2023-11-10,Doloremque reiciendis explicabo dolore ducimus temporibus eum. Modi consequatur quia ea corrupti consequatur quidem.,Caso en Curso
142,2024-06-23,"Exercitationem adipisci minima nam. Quos ducimus eius quo repellendus quam atque.
Impedit eius rem delectus similique praesentium asperiores.",Caso en Curso
143,2022-03-04,Reiciendis ullam quidem nam aperiam. Perspiciatis dolorem harum amet recusandae quas.,Mediación Exitosa
144,2025-02-23,Eos accusamus excepturi non vero. Eius maiores vel nesciunt voluptatem rem.,Caso en Curso
145,2022-06-12,Libero dicta accusamus ex deserunt soluta. Delectus consequuntur laborum vitae non praesentium.,Caso en Curso
146,2024-10-26,Doloremque recusandae deserunt libero. Facilis voluptates sed illo eum dolorem eligendi excepturi.,Caso en Curso
147,2023-08-17,Tempore tenetur recusandae nesciunt in quasi. Quos dolore eius assumenda asperiores ad ex.,Caso en Curso
148,2025-01-31,Itaque impedit quaerat velit accusamus provident dicta. Ullam odit culpa cupiditate et voluptates. Esse similique quis laudantium iure.,Caso en Curso
149,2025-04-27,Occaecati distinctio doloribus mollitia sit consequuntur est quidem. Nesciunt hic quaerat accusantium. Cum culpa facilis autem omnis saepe nostrum.,Caso en Curso
150,2024-11-23,Distinctio veniam voluptas nobis facere doloremque. Autem eos id maiores natus omnis adipisci. Consequuntur architecto ipsum officiis.,Caso en Curso
151,2024-07-28,Facere quas suscipit perferendis ipsam. Commodi incidunt unde.,Caso en Curso
152,2024-05-19,Quis quam tempore consectetur aut nihil dolores. Porro fugit libero voluptas.,Caso en Curso
153,2024-01-12,"Cum aliquid officiis sapiente vero.
Quisquam nisi corporis modi fugiat quaerat illum. Facilis fugit provident illum repellendus alias quam.",Caso en Curso
154,2022-08-31,Exercitationem officia labore dignissimos harum sunt necessitatibus unde.,Caso en Curso
155,2024-02-10,Asperiores officiis hic cupiditate ipsa quae dolores. Numquam facere illo ea maiores voluptatibus.,Caso en Curso
156,2024-06-24,Vero eaque ipsa id enim explicabo. Necessitatibus expedita impedit dolor ipsum.,Caso en Curso
157,2024-05-15,Reprehenderit iusto blanditiis eum. Eveniet porro iusto laudantium.,Caso en Curso
158,2023-05-24,Minus voluptas laboriosam reprehenderit rem fugit. Quo tempore tempora.,Recurso Denegado
159,2025-03-22,Officia quam officia eum cum esse. Ipsa quam rem optio consequuntur.,Conciliación Judicial
160,2023-12-30,Accusamus totam nam. Sunt totam officiis a doloribus aperiam sit.,Caso en Curso
161,2025-03-03,Repellendus itaque aut.,Caso en Curso
162,2025-01-30,Quam facere quae excepturi doloribus velit voluptatem. Fuga aspernatur praesentium debitis veniam recusandae. Esse labore similique optio quod.,Caso en Curso
163,2024-05-10,Quidem ullam totam. Nihil earum facilis rerum fugiat. Id minus tenetur iure.,Caso en Curso
164,2024-08-08,"Impedit repellendus quam veritatis. Fugiat nostrum provident necessitatibus.
Omnis minima animi eligendi aut.",Archivo por Falta de Pruebas
165,2024-07-18,Voluptate sit debitis necessitatibus unde rem numquam. Veniam itaque laudantium aperiam laudantium fugit.,Acuerdo Extrajudicial
166,2022-06-21,"Illo nihil perspiciatis pariatur rem. Laboriosam sit dicta totam ullam tempore.
Nulla eaque officiis odit. Quae dolorem id.",Caso en Curso
167,2024-11-30,Optio commodi odio totam eligendi. Error et quibusdam commodi aut quaerat sunt. Tempore repellendus recusandae dolores corrupti.,Resolución Administrativa
168,2024-11-28,"Perferendis voluptatum suscipit sapiente exercitationem aspernatur. Eligendi laboriosam impedit.
Reprehenderit unde harum voluptas.",Caso en Curso
169,2024-01-28,Sed mollitia repellendus eius eaque ullam. Neque ipsum voluptatum iusto magnam doloribus. Accusantium iusto maxime asperiores.,Caso en Curso
170,2025-05-20,"Dolorum occaecati laboriosam necessitatibus.
Repellat autem doloremque odio. Nemo praesentium totam numquam eius quidem fugit.",Caso en Curso
171,2023-03-29,Enim ipsam provident et ratione nesciunt. Dolorum ex error dolores.,Caso en Curso
172,2024-09-25,Quos minima doloribus nam ratione. Eaque dicta reiciendis eligendi. Quidem sit consequatur ratione. Tenetur nihil magnam repellendus est id.,Caso en Curso
173,2024-05-11,Ipsa commodi tenetur quae incidunt voluptates unde. Suscipit quas cum vero sed sunt ipsa repellat. Aspernatur vel excepturi repellendus eaque sit.,Caso en Curso
174,2023-10-27,Sit asperiores cupiditate delectus assumenda. Necessitatibus rerum dolore cum sequi eos dolorum. Modi nam animi.,Mediación Exitosa
175,2022-04-21,Illum odit molestias ipsa nulla nihil. Ea sed quia officia. Magni nostrum pariatur voluptatum pariatur aperiam vitae.,Sentencia Absolutoria
176,2024-07-03,Aliquam explicabo tempora ad. Numquam labore harum fugiat non. Labore delectus voluptas assumenda molestias.,Caso en Curso
177,2021-02-02,"Est et aspernatur. Vero vel consequatur ducimus odio sunt.
Corporis porro cumque maxime. Magnam totam at sit assumenda inventore fugit.",Mediación Exitosa
178,2024-07-28,Laudantium pariatur occaecati consectetur cum doloremque libero. Dolor dolore incidunt facilis at sit natus.,Caso en Curso
179,2022-09-04,Laborum doloremque consequuntur maiores id. Error assumenda tempore consectetur soluta culpa quos. Facere non minus molestiae.,Resolución Administrativa
180,2025-03-10,Quos voluptas pariatur natus. Ea adipisci fugit exercitationem eius esse quaerat ea. Enim aut repellendus consequatur minus.,Caso en Curso
181,2025-03-23,Expedita molestiae fugiat atque eligendi sed. Eveniet ipsum nobis error sunt voluptates enim. Mollitia aut perspiciatis a.,Caso en Curso
182,2024-02-19,Praesentium totam hic commodi suscipit maxime reiciendis. Ipsum quia a reprehenderit amet possimus esse. Magni excepturi repudiandae expedita.,Sentencia Condenatoria
183,2024-06-19,Veniam aliquam aliquam quasi corrupti. Incidunt earum voluptatem repellat nulla.,Caso en Curso
184,2023-09-29,Itaque facere itaque soluta incidunt. Voluptatum nisi tempora ullam tempora soluta nulla facere.,Acuerdo Extrajudicial
185,2025-01-30,Est optio est velit praesentium debitis voluptates ratione. Ex inventore placeat quaerat autem dolor. Quaerat velit asperiores molestiae non.,Sobreseimiento
186,2024-05-27,Accusamus rem expedita fugiat.,Caso en Curso
187,2022-08-05,Fugiat provident unde deserunt iusto repellendus. Deleniti ducimus excepturi labore nam.,Caso en Curso
188,2022-11-29,Vitae accusamus aperiam consectetur harum amet deleniti veritatis. Facilis ab suscipit ipsa dolorem perspiciatis quisquam.,Sentencia Absolutoria
189,2024-10-15,"Laudantium quia fugiat.
Fugit esse cupiditate quis. Mollitia nesciunt architecto voluptatibus corporis repellat odit.",Caso en Curso
190,2025-02-22,Quisquam recusandae excepturi aperiam nam. Sapiente sint autem molestias voluptatum. Dignissimos quam minima. Perferendis expedita totam eaque.,Caso en Curso
191,2024-11-02,Error eum dolorum quam exercitationem. Unde voluptatem cupiditate repellat officia veritatis. Rem libero ipsam delectus officiis.,Caso en Curso
192,2024-02-14,Reprehenderit nihil modi cumque culpa eius. Adipisci dolore dolorem excepturi. Ut omnis voluptatem laboriosam perspiciatis iste tempore.,Caso en Curso
193,2024-07-11,Doloremque neque pariatur quidem repellat. Dolores beatae ad atque optio. Odit quam debitis blanditiis enim totam modi.,Caso en Curso
194,2022-10-17,Incidunt suscipit reprehenderit fugit sapiente velit. Velit omnis repellat odit sapiente.,Caso en Curso
195,2024-07-08,"Libero sequi numquam unde. Occaecati alias similique doloremque optio.
Repellendus expedita dolore voluptas ab sint. Possimus ullam quas saepe.",Acuerdo Extrajudicial
196,2024-08-10,Eaque doloribus repellendus nulla aliquam fugiat illo. Iusto ipsam similique velit repellendus animi.,Caso en Curso
197,2025-01-26,Quibusdam numquam sed occaecati ex adipisci facilis ea. Maiores aliquid sequi in beatae ipsum.,Resolución Administrativa
198,2023-10-28,Est quidem laudantium excepturi adipisci corporis. Harum eum perspiciatis quos odio nobis.,Caso en Curso
199,2022-09-27,"Perferendis inventore repudiandae fuga. Ad eveniet quae beatae nihil consequuntur dicta accusamus.
Voluptatum optio iste ut.",Caso en Curso
200,2024-07-24,"Harum ipsa eos eum. Quidem facilis esse necessitatibus eum.
Ex quos illo harum.",Caso en Curso
201,2021-08-15,"Aliquid cupiditate praesentium omnis praesentium. Fugit amet consectetur aliquid labore ipsum.
Itaque repudiandae architecto. Quia quod eum quae.",Conciliación Judicial
202,2023-01-29,Excepturi natus aspernatur. Minima quis recusandae vel quos animi aspernatur.,Resolución Administrativa
203,2024-08-01,Explicabo eveniet saepe placeat adipisci est. Ipsum doloremque reprehenderit aliquid enim sapiente. Ipsa cupiditate dicta accusamus illo.,Caso en Curso
204,2024-01-13,Veniam accusantium reprehenderit deserunt. Quas repellendus hic labore.,Caso en Curso
