ID Caso,ID Cliente,ID Abogado,Descripción,Estado,Fecha de Inicio,Fecha de Resolución,Rama Legal,Resultado,Tipo de Caso
18,847,48,Fugit aliquam ab earum.,En proceso,2021-01-19,2024-02-06,Seguridad Social,Pendiente,Afiliación al sistema
19,759,28,Culpa sed natus officiis fugit.,En proceso,2023-07-05,2024-08-24,Internacional Privado,Pendiente,Adopción internacional
20,629,29,Cumque eveniet consectetur neque repellat possimus.,En proceso,2022-11-20,2023-12-15,Internacional Privado,Pendiente,Contrato internacional
21,283,48,Deserunt ea maxime harum quasi.,En proceso,2024-03-04,2024-09-01,Seguridad Social,Pendiente,Reclamación de pensión
22,915,44,Debitis odio expedita laboriosam cumque.,En proceso,2023-05-26,2023-07-03,Notarial y Registral,Pendiente,Constitución de sociedad
23,1042,6,Dignissimos omnis esse repudiandae omnis doloremque atque.,Cerrado,2022-10-04,2022-10-11,Civil,Perdido,Arrendamientos
24,330,36,Eos blanditiis sed ratione sapiente facere.,Cerrado,2023-01-31,2023-07-11,Procesal,Acuerdo,Recurso de apelación
25,298,48,Repudiandae sit sunt praesentium ipsum dolores praesentium possimus.,Cerrado,2020-12-11,2023-12-28,Seguridad Social,Acuerdo,Incapacidad permanente
26,539,6,Suscipit deleniti laboriosam assumenda aliquid aliquam beatae facere.,Abierto,2022-02-27,2024-12-08,Civil,Pendiente,Reclamación por deuda
27,788,6,Facilis possimus tempore quae quos voluptatibus maiores doloremque.,Cerrado,2021-10-22,2025-05-06,Civil,Acuerdo,Sucesiones y herencias
28,118,32,Amet nihil placeat tenetur repudiandae.,Abierto,2022-01-08,2023-03-19,Ambiental,Pendiente,Protección de áreas naturales
29,22,29,Vitae sunt saepe qui ut ipsam vel nemo.,Abierto,2022-10-04,2023-05-15,Internacional Privado,Pendiente,Reconocimiento de sentencias extranjeras
30,399,48,Natus doloremque aut accusamus cum omnis similique.,Abierto,2022-02-21,2023-09-20,Seguridad Social,Pendiente,Afiliación al sistema
31,348,32,Repellendus voluptates perspiciatis unde maxime in.,En proceso,2024-02-18,2024-03-02,Ambiental,Pendiente,Contaminación
32,1,21,Odit ducimus dolor veniam beatae sunt.,Abierto,2023-04-03,2025-01-27,Constitucional,Pendiente,Acción de amparo
33,724,17,Corrupti dolor aliquam corporis eligendi exercitationem dolore.,En proceso,2023-04-11,2024-10-31,Administrativo,Pendiente,Multas municipales
34,1061,27,Corrupti natus neque et minima.,Abierto,2021-04-28,2023-05-21,Internacional Público,Pendiente,Conflictos fronterizos
35,185,44,Neque dolorem ab explicabo.,En proceso,2023-12-20,2024-04-07,Notarial y Registral,Pendiente,Testamento
36,712,45,Aliquid saepe est rem omnis hic.,Cerrado,2024-04-04,2025-05-06,Notarial y Registral,Ganado,Registro de propiedad
37,828,14,Alias illum placeat.,En proceso,2022-11-04,2023-09-23,Mercantil,Pendiente,Incumplimiento comercial
38,834,16,Asperiores excepturi aspernatur sequi.,En proceso,2020-06-10,2024-03-30,Administrativo,Pendiente,Sanción administrativa
39,1031,32,Totam totam vel.,Cerrado,2021-06-05,2022-08-31,Ambiental,Perdido,Contaminación
40,1102,48,Facilis corporis pariatur.,En proceso,2021-10-31,2024-05-05,Seguridad Social,Pendiente,Cotización incorrecta
41,773,45,Quisquam consequatur ipsum.,En proceso,2022-04-27,2023-08-30,Notarial y Registral,Pendiente,Legalización de documentos
42,696,48,Perferendis labore porro alias quisquam nobis a.,Cerrado,2023-06-13,2023-09-05,Seguridad Social,Acuerdo,Incapacidad permanente
43,988,36,Sunt sed molestias incidunt.,Abierto,2022-04-29,2023-09-02,Procesal,Pendiente,Ejecución de sentencia
44,452,8,Debitis eum cupiditate velit recusandae.,En proceso,2021-02-19,2023-01-22,Civil,Pendiente,Sucesiones y herencias
45,845,14,Eveniet optio id aliquid est.,Cerrado,2023-09-28,2025-04-12,Mercantil,Acuerdo,Competencia desleal
46,509,4,Minus doloremque suscipit rerum laudantium repudiandae occaecati.,Cerrado,2021-02-19,2023-05-23,Penal,Ganado,Violencia de género
47,156,41,Impedit id odit ratione earum eos unde.,En proceso,2022-06-03,2023-06-01,Familia,Pendiente,Custodia de menores
48,725,29,Saepe minus ratione voluptatem.,Abierto,2020-08-03,2022-03-08,Internacional Privado,Pendiente,Adopción internacional
49,390,16,Mollitia in veniam totam in minus iste.,Cerrado,2024-03-29,2024-05-03,Administrativo,Acuerdo,Licencias y permisos
50,544,14,Placeat inventore ipsum nobis adipisci qui ea consectetur.,Abierto,2022-04-15,2023-03-10,Mercantil,Pendiente,Contratos mercantiles
51,730,14,Amet illo amet fugit.,Abierto,2020-09-01,2025-04-10,Mercantil,Pendiente,Incumplimiento comercial
52,1009,6,Iure culpa ut vel nisi.,En proceso,2023-01-04,2024-04-04,Civil,Pendiente,Incumplimiento de contrato
53,988,48,Natus quasi dolore nemo dolorem.,Cerrado,2021-10-23,2023-05-23,Seguridad Social,Acuerdo,Cotización incorrecta
54,563,31,Atque repellendus doloribus unde esse.,Cerrado,2021-06-30,2022-06-24,Internacional Privado,Ganado,Adopción internacional
55,455,17,Adipisci hic cum rerum tempora.,En proceso,2023-12-02,2025-02-15,Administrativo,Pendiente,Licencias y permisos
56,980,4,Tempore quisquam corporis perferendis officiis doloribus.,En proceso,2021-11-02,2022-09-09,Penal,Pendiente,Robo o hurto
57,807,32,Harum aut voluptas dolores autem.,En proceso,2022-07-10,2023-12-24,Ambiental,Pendiente,Evaluación de impacto ambiental
58,1062,28,Ea quis veritatis reprehenderit.,Cerrado,2023-04-11,2024-09-17,Internacional Privado,Perdido,Reconocimiento de sentencias extranjeras
59,432,2,Voluptatibus soluta veniam quam officiis.,Cerrado,2022-08-31,2025-02-28,Penal,Acuerdo,Robo o hurto
60,532,21,Dolores delectus error cum quas eos provident.,Abierto,2020-11-29,2022-06-02,Constitucional,Pendiente,Habeas corpus
61,552,16,Iusto voluptates omnis.,Cerrado,2021-02-26,2024-10-01,Administrativo,Acuerdo,Recursos administrativos
62,1022,21,Quidem illum eaque laudantium.,Cerrado,2022-10-03,2023-12-14,Constitucional,Ganado,Violación de derechos fundamentales
63,748,45,Dicta ipsam quia maxime assumenda blanditiis.,Cerrado,2023-03-26,2024-03-30,Notarial y Registral,Perdido,Legalización de documentos
64,469,11,Pariatur provident repellat soluta incidunt.,Abierto,2022-09-24,2025-05-10,Laboral,Pendiente,Accidente de trabajo
65,886,16,Delectus exercitationem doloremque.,Cerrado,2024-02-21,2025-01-05,Administrativo,Ganado,Licencias y permisos
66,969,48,Blanditiis aspernatur libero illo deserunt a.,Abierto,2022-06-05,2024-03-14,Seguridad Social,Pendiente,Subsidio por enfermedad
67,276,27,Ut vel eos sit iste similique nihil.,En proceso,2023-08-14,2025-01-31,Internacional Público,Pendiente,Refugiados y asilo
68,997,32,Error culpa voluptatibus blanditiis.,Cerrado,2021-08-24,2025-04-11,Ambiental,Perdido,Licencia ambiental
69,816,54,Quas ullam incidunt sed.,Abierto,2021-01-21,2021-09-29,Informático,Pendiente,Contrato de software
70,442,11,Temporibus itaque nulla similique repellat molestiae.,Cerrado,2022-05-31,2024-08-20,Laboral,Perdido,Accidente de trabajo
71,686,8,Nisi magnam maiores recusandae.,Cerrado,2023-11-15,2024-05-26,Civil,Perdido,Reclamación por deuda
72,705,32,Doloribus id itaque ex odit.,Abierto,2022-10-06,2023-03-15,Ambiental,Pendiente,Sanción ambiental
73,408,8,Quae atque dignissimos cumque itaque.,En proceso,2023-04-18,2023-09-19,Civil,Pendiente,Arrendamientos
74,583,41,Cumque cumque laudantium consequatur quo nisi.,Cerrado,2021-11-26,2022-06-02,Familia,Perdido,Violencia intrafamiliar
75,916,32,Repellendus consectetur natus impedit.,Abierto,2023-09-12,2023-09-18,Ambiental,Pendiente,Sanción ambiental
76,950,38,Recusandae voluptate pariatur voluptatum cum molestiae.,En proceso,2022-10-15,2023-06-11,Procesal,Pendiente,Nulidad procesal
77,691,54,Quam tempore provident at cumque dicta.,Cerrado,2020-11-02,2023-07-22,Informático,Acuerdo,Hackeo o intrusión
78,147,38,Soluta perferendis accusamus aliquid est ex quia dolore.,Abierto,2023-02-05,2024-10-23,Procesal,Pendiente,Nulidad procesal
79,643,21,Iure maxime ea.,Cerrado,2020-05-27,2025-05-18,Constitucional,Acuerdo,Inconstitucionalidad de norma
80,810,45,Laboriosam possimus excepturi quos.,Cerrado,2021-07-19,2024-07-03,Notarial y Registral,Perdido,Testamento
81,848,45,Magnam est a assumenda.,Abierto,2021-08-06,2024-02-14,Notarial y Registral,Pendiente,Constitución de sociedad
82,257,54,Eius repellat eius quidem eligendi nulla.,En proceso,2022-11-23,2023-10-05,Informático,Pendiente,Protección de datos personales
83,164,41,Tenetur distinctio dicta repellendus sunt vel modi.,Abierto,2021-08-01,2023-06-12,Familia,Pendiente,Custodia de menores
84,196,27,Tempore quisquam tempora eius architecto impedit.,Abierto,2021-04-30,2025-01-23,Internacional Público,Pendiente,Tratado internacional
85,54,32,Beatae numquam ad fugiat dolores.,Cerrado,2023-06-20,2024-07-26,Ambiental,Acuerdo,Contaminación
86,319,8,Culpa in incidunt hic est sapiente neque.,Abierto,2022-07-31,2023-06-04,Civil,Pendiente,Sucesiones y herencias
87,470,27,Beatae in alias.,Abierto,2021-08-13,2022-10-06,Internacional Público,Pendiente,Conflictos fronterizos
88,259,17,Cum laudantium sed nihil exercitationem natus impedit.,Abierto,2022-01-29,2024-06-18,Administrativo,Pendiente,Responsabilidad patrimonial del Estado
89,59,54,Est id iste fugiat ducimus quis.,Abierto,2024-04-30,2024-09-23,Informático,Pendiente,Contrato de software
90,976,21,Inventore voluptates saepe dolor aperiam id hic magni.,Cerrado,2021-10-30,2023-02-07,Constitucional,Acuerdo,Inconstitucionalidad de norma
91,277,32,Voluptate quasi rem ab autem.,En proceso,2023-12-20,2025-01-14,Ambiental,Pendiente,Licencia ambiental
92,891,11,Fugiat id in dolorem asperiores ipsum animi.,En proceso,2023-05-16,2023-10-25,Laboral,Pendiente,Accidente de trabajo
93,712,41,Voluptatibus repudiandae debitis quibusdam.,Cerrado,2020-10-15,2022-02-10,Familia,Acuerdo,Custodia de menores
94,905,48,Assumenda voluptatem magni veritatis aperiam velit.,Cerrado,2024-04-24,2024-06-01,Seguridad Social,Perdido,Incapacidad permanente
95,622,16,Perspiciatis voluptatum esse debitis laborum ipsum eaque.,Abierto,2022-05-04,2024-05-30,Administrativo,Pendiente,Sanción administrativa
96,705,32,Sit soluta id laudantium ipsam.,Cerrado,2024-05-19,2025-05-14,Ambiental,Perdido,Licencia ambiental
97,978,4,Nam laborum blanditiis hic sunt quod.,Cerrado,2021-10-16,2023-04-29,Penal,Ganado,Delitos informáticos
98,474,27,Et exercitationem molestiae doloremque non.,Abierto,2023-09-27,2024-01-16,Internacional Público,Pendiente,Refugiados y asilo
99,844,21,Expedita alias ratione rem.,En proceso,2021-11-09,2024-10-30,Constitucional,Pendiente,Violación de derechos fundamentales
100,335,27,Doloribus commodi nihil neque earum.,En proceso,2022-01-08,2025-03-21,Internacional Público,Pendiente,Conflictos fronterizos
101,775,41,Deleniti officiis voluptates alias velit nam rem.,Abierto,2021-12-31,2024-08-28,Familia,Pendiente,Manutención
102,491,8,Odit hic magnam sequi doloribus quod.,En proceso,2021-08-05,2022-05-04,Civil,Pendiente,Arrendamientos
103,584,48,Ipsum quaerat blanditiis vitae quia perspiciatis ipsum.,En proceso,2022-08-01,2025-02-07,Seguridad Social,Pendiente,Reintegro de prestaciones
104,846,32,Dolore atque dolorem quis.,Abierto,2022-06-05,2024-07-03,Ambiental,Pendiente,Contaminación
105,594,11,Quo sint ullam cumque similique impedit animi.,Abierto,2022-02-22,2023-07-05,Laboral,Pendiente,Accidente de trabajo
106,928,31,Consequatur ducimus iusto accusamus odio.,Cerrado,2021-10-06,2024-11-10,Internacional Privado,Acuerdo,Adopción internacional
107,657,28,Deserunt doloremque labore aspernatur quas nisi.,Abierto,2021-12-10,2023-01-11,Internacional Privado,Pendiente,Divorcio internacional
108,381,2,Quia maiores at.,Abierto,2020-08-31,2021-02-08,Penal,Pendiente,Lesiones personales
109,898,16,Tenetur tempora odit inventore quo.,En proceso,2022-09-29,2024-01-01,Administrativo,Pendiente,Sanción administrativa
110,309,14,A voluptatum sunt blanditiis repellendus itaque autem ipsam.,Abierto,2022-11-21,2024-04-10,Mercantil,Pendiente,Conflictos societarios
111,861,14,Voluptates ipsam quaerat deserunt sit.,Cerrado,2024-03-21,2025-01-15,Mercantil,Perdido,Quiebra o insolvencia
112,65,31,Minima illo officia nisi nulla totam voluptate.,Cerrado,2020-07-13,2024-03-18,Internacional Privado,Ganado,Divorcio internacional
113,804,4,Sapiente exercitationem veritatis alias.,Abierto,2020-12-23,2021-12-30,Penal,Pendiente,Fraude
114,394,28,Impedit numquam molestias.,Cerrado,2023-05-06,2025-01-13,Internacional Privado,Perdido,Conflicto de leyes
115,789,6,Animi vitae voluptatibus itaque officia.,Cerrado,2022-06-02,2024-11-26,Civil,Ganado,Sucesiones y herencias
116,944,2,Excepturi id totam voluptas.,En proceso,2020-08-15,2025-03-23,Penal,Pendiente,Delitos informáticos
117,969,6,Fugiat magni at totam ea.,Cerrado,2023-01-07,2023-06-25,Civil,Acuerdo,Reclamación por deuda
118,87,21,Ut ut iure blanditiis nulla numquam repellat.,En proceso,2022-03-14,2023-04-07,Constitucional,Pendiente,Habeas corpus
119,519,32,Quisquam numquam cumque numquam hic ducimus voluptates.,Cerrado,2021-02-07,2022-05-07,Ambiental,Acuerdo,Daño ecológico
120,107,14,Assumenda sunt necessitatibus illum atque.,En proceso,2021-01-13,2024-08-15,Mercantil,Pendiente,Contratos mercantiles
121,890,6,Amet laborum non.,Cerrado,2024-01-28,2024-03-30,Civil,Ganado,Daños y perjuicios
122,246,48,Laboriosam nulla rem earum.,Cerrado,2022-02-01,2023-11-17,Seguridad Social,Ganado,Reclamación de pensión
123,318,4,Praesentium sit laboriosam quisquam soluta consequuntur quia.,Cerrado,2022-06-23,2024-07-22,Penal,Ganado,Homicidio
124,188,11,Assumenda eligendi distinctio sint aliquid id.,En proceso,2022-11-08,2023-02-05,Laboral,Pendiente,Negociación colectiva
125,123,21,Quam iste voluptate at temporibus ullam repudiandae doloremque.,Cerrado,2023-09-08,2024-03-13,Constitucional,Acuerdo,Acción de tutela
126,258,44,Minus esse magnam repellat recusandae at optio totam.,Cerrado,2023-07-28,2024-01-18,Notarial y Registral,Ganado,Testamento
127,899,32,Molestiae odio debitis laboriosam debitis.,En proceso,2022-12-30,2023-01-03,Ambiental,Pendiente,Evaluación de impacto ambiental
128,734,4,Ea veritatis quo veniam fugiat quis laborum.,En proceso,2022-03-29,2024-02-24,Penal,Pendiente,Homicidio
129,994,16,Eaque doloremque id autem ad.,En proceso,2022-08-11,2023-06-29,Administrativo,Pendiente,Multas municipales
130,1004,32,Distinctio nam ab.,Abierto,2022-12-26,2025-04-19,Ambiental,Pendiente,Licencia ambiental
131,663,11,Neque porro accusantium.,En proceso,2021-09-17,2025-04-18,Laboral,Pendiente,Reinstalación
132,329,18,Rerum adipisci sint inventore placeat molestiae magni.,Abierto,2022-10-15,2023-01-25,Administrativo,Pendiente,Responsabilidad patrimonial del Estado
133,606,11,Non possimus similique incidunt.,Cerrado,2021-03-26,2022-03-05,Laboral,Acuerdo,Reclamación de salarios
134,1037,28,Voluptate perspiciatis quod sint.,Cerrado,2021-07-06,2023-09-27,Internacional Privado,Acuerdo,Divorcio internacional
135,490,4,Sunt exercitationem minus quaerat neque facilis.,Cerrado,2020-06-09,2023-09-18,Penal,Acuerdo,Robo o hurto
136,389,41,Tempore earum laudantium veniam dolorem hic voluptates unde.,En proceso,2023-05-15,2024-06-08,Familia,Pendiente,Violencia intrafamiliar
137,316,31,Ducimus consectetur assumenda repudiandae quibusdam.,En proceso,2021-05-10,2024-06-24,Internacional Privado,Pendiente,Contrato internacional
138,660,21,Natus sit debitis omnis.,Abierto,2023-08-16,2025-02-08,Constitucional,Pendiente,Acción de amparo
139,90,32,Aliquam nobis illo modi voluptatem rerum id expedita.,Abierto,2022-09-15,2022-12-05,Ambiental,Pendiente,Evaluación de impacto ambiental
140,414,54,Voluptatum accusamus cupiditate voluptatibus commodi.,Abierto,2022-10-09,2024-05-14,Informático,Pendiente,Suplantación digital
141,66,14,Commodi cupiditate at eligendi accusamus.,En proceso,2023-06-02,2023-11-10,Mercantil,Pendiente,Registro de marca
142,1004,54,Odio itaque quas accusantium.,En proceso,2023-11-30,2024-06-23,Informático,Pendiente,Hackeo o intrusión
143,101,45,Tenetur maxime minus labore magnam laborum.,Cerrado,2021-08-14,2022-03-04,Notarial y Registral,Ganado,Registro de propiedad
144,27,44,Fugiat hic quod minus tempora voluptatibus consequatur beatae.,Abierto,2024-01-12,2025-02-23,Notarial y Registral,Pendiente,Actos de compraventa
145,959,28,Incidunt optio aliquam id quis nostrum.,En proceso,2022-06-03,2022-06-12,Internacional Privado,Pendiente,Conflicto de leyes
146,756,21,Eum unde voluptate reiciendis.,En proceso,2023-08-24,2024-10-26,Constitucional,Pendiente,Acción de amparo
147,1084,54,Doloremque eaque pariatur quas numquam modi.,Abierto,2022-01-28,2023-08-17,Informático,Pendiente,Contrato de software
148,160,8,Dolores eaque doloremque provident accusamus consectetur praesentium.,Abierto,2024-01-28,2025-01-31,Civil,Pendiente,Arrendamientos
149,474,6,Magnam impedit sunt quibusdam impedit.,En proceso,2024-03-19,2025-04-27,Civil,Pendiente,Propiedad y posesión
150,1078,14,Et odit amet voluptate pariatur facere voluptatibus nostrum.,En proceso,2024-04-03,2024-11-23,Mercantil,Pendiente,Contratos mercantiles
151,851,36,Voluptatum numquam distinctio quos odit.,En proceso,2023-04-23,2024-07-28,Procesal,Pendiente,Recurso de apelación
152,940,48,Commodi quam alias sed.,En proceso,2022-06-17,2024-05-19,Seguridad Social,Pendiente,Reintegro de prestaciones
153,342,27,Rem sunt nobis ipsum iure.,Abierto,2020-06-15,2024-01-12,Internacional Público,Pendiente,Refugiados y asilo
154,324,27,Alias laborum deleniti.,En proceso,2021-06-03,2022-08-31,Internacional Público,Pendiente,Refugiados y asilo
155,646,29,Molestiae perferendis id nostrum ab aliquam animi.,En proceso,2023-06-11,2024-02-10,Internacional Privado,Pendiente,Contrato internacional
156,845,54,Dolores quas libero doloremque illo nisi ullam odio.,En proceso,2022-02-28,2024-06-24,Informático,Pendiente,Suplantación digital
157,493,54,Molestias numquam distinctio aut repellendus eos distinctio.,En proceso,2022-01-01,2024-05-15,Informático,Pendiente,Hackeo o intrusión
158,521,14,Ex dolore architecto aperiam natus.,Cerrado,2021-01-11,2023-05-24,Mercantil,Perdido,Conflictos societarios
159,71,27,Ex dolores voluptate autem recusandae distinctio.,Cerrado,2023-12-07,2025-03-22,Internacional Público,Acuerdo,Litigio entre Estados
160,619,32,Iusto error quam quia voluptatem veritatis.,Abierto,2021-05-12,2023-12-30,Ambiental,Pendiente,Daño ecológico
161,645,14,Quasi laboriosam delectus a aspernatur.,Abierto,2022-09-23,2025-03-03,Mercantil,Pendiente,Registro de marca
162,1048,54,Necessitatibus corporis adipisci temporibus tempora.,En proceso,2022-03-19,2025-01-30,Informático,Pendiente,Hackeo o intrusión
163,194,36,Ullam amet tempora natus.,Abierto,2024-04-27,2024-05-10,Procesal,Pendiente,Competencia jurisdiccional
164,284,21,Neque modi rerum ratione repudiandae aliquid tempora.,Cerrado,2023-07-30,2024-08-08,Constitucional,Perdido,Habeas corpus
165,525,14,Ducimus nihil nam sequi magnam.,Cerrado,2020-06-09,2024-07-18,Mercantil,Ganado,Competencia desleal
166,159,27,Quia deserunt quo excepturi nostrum eos.,En proceso,2022-02-06,2022-06-21,Internacional Público,Pendiente,Extradición
167,355,48,Repudiandae porro vitae veritatis doloremque molestiae vero.,Cerrado,2022-01-19,2024-11-30,Seguridad Social,Acuerdo,Reintegro de prestaciones
168,616,36,A quod vero suscipit ut quisquam accusantium.,Abierto,2024-01-24,2024-11-28,Procesal,Pendiente,Revisión judicial
169,161,48,At mollitia perferendis.,Abierto,2021-10-16,2024-01-28,Seguridad Social,Pendiente,Cotización incorrecta
170,854,21,Est nisi labore tempora perspiciatis dolorem.,Abierto,2024-03-06,2025-05-20,Constitucional,Pendiente,Acción de tutela
171,784,44,Repellat repudiandae eius recusandae facilis.,Abierto,2020-09-17,2023-03-29,Notarial y Registral,Pendiente,Testamento
172,654,32,Labore quod quibusdam necessitatibus assumenda nobis.,En proceso,2023-12-02,2024-09-25,Ambiental,Pendiente,Licencia ambiental
173,1029,11,Iure molestias cupiditate accusamus corporis nostrum facere.,En proceso,2024-02-13,2024-05-11,Laboral,Pendiente,Acoso laboral
174,805,11,Officiis quisquam cumque repudiandae fugit explicabo cum.,Cerrado,2023-04-10,2023-10-27,Laboral,Acuerdo,Negociación colectiva
175,455,32,Aliquam illo accusantium eos id deserunt.,Cerrado,2021-03-28,2022-04-21,Ambiental,Perdido,Sanción ambiental
176,689,11,Officiis corporis aut temporibus illo velit.,Abierto,2020-11-27,2024-07-03,Laboral,Pendiente,Reinstalación
177,818,36,Nostrum veniam soluta occaecati.,Cerrado,2021-01-27,2021-02-02,Procesal,Ganado,Competencia jurisdiccional
178,268,32,Quia laboriosam aliquam facere molestiae harum.,Abierto,2021-03-02,2024-07-28,Ambiental,Pendiente,Sanción ambiental
179,1000,32,Consequuntur magnam repellat pariatur.,Cerrado,2021-08-06,2022-09-04,Ambiental,Acuerdo,Licencia ambiental
180,497,14,Architecto consequatur minus tempora commodi.,Abierto,2023-11-12,2025-03-10,Mercantil,Pendiente,Quiebra o insolvencia
181,663,48,Omnis enim voluptates labore.,En proceso,2020-12-20,2025-03-23,Seguridad Social,Pendiente,Afiliación al sistema
182,848,6,Provident ducimus a.,Cerrado,2023-03-08,2024-02-19,Civil,Perdido,Reclamación por deuda
183,706,14,Corrupti maxime nulla adipisci numquam atque placeat.,En proceso,2023-11-28,2024-06-19,Mercantil,Pendiente,Registro de marca
184,347,4,Quisquam minus explicabo animi adipisci laborum non.,Cerrado,2022-03-05,2023-09-29,Penal,Acuerdo,Delitos informáticos
185,299,48,Corporis modi autem laudantium eligendi.,Cerrado,2024-02-29,2025-01-30,Seguridad Social,Ganado,Subsidio por enfermedad
186,320,14,Ipsa necessitatibus hic eligendi odio vel natus.,En proceso,2023-07-06,2024-05-27,Mercantil,Pendiente,Incumplimiento comercial
187,498,6,Officiis voluptate hic vitae laboriosam.,En proceso,2020-09-11,2022-08-05,Civil,Pendiente,Daños y perjuicios
188,29,54,Aliquid cum aut consectetur praesentium.,Cerrado,2022-06-18,2022-11-29,Informático,Acuerdo,Delito informático
189,965,17,Veritatis est recusandae dolore.,Abierto,2023-03-25,2024-10-15,Administrativo,Pendiente,Recursos administrativos
190,418,14,Accusantium doloribus molestiae vel.,En proceso,2020-10-11,2025-02-22,Mercantil,Pendiente,Competencia desleal
191,990,48,Et sit ipsam dolores impedit ea molestias veritatis.,En proceso,2021-03-08,2024-11-02,Seguridad Social,Pendiente,Reintegro de prestaciones
192,772,11,Necessitatibus facilis quas eligendi.,En proceso,2023-05-04,2024-02-14,Laboral,Pendiente,Accidente de trabajo
193,524,32,Aliquid nemo iusto alias facere.,Abierto,2021-11-25,2024-07-11,Ambiental,Pendiente,Contaminación
194,556,16,Debitis praesentium dolores quis.,Abierto,2021-04-22,2022-10-17,Administrativo,Pendiente,Multas municipales
195,137,41,Molestiae quas odio ea nisi commodi deserunt.,Cerrado,2021-06-07,2024-07-08,Familia,Acuerdo,Manutención
196,221,41,Tempore tempore reiciendis numquam facilis suscipit.,Abierto,2023-06-19,2024-08-10,Familia,Pendiente,Manutención
197,474,54,Veritatis voluptates accusantium fugiat voluptatibus in illum.,Cerrado,2023-07-22,2025-01-26,Informático,Acuerdo,Contrato de software
198,993,8,Consequatur non omnis necessitatibus.,En proceso,2023-10-22,2023-10-28,Civil,Pendiente,Arrendamientos
199,408,6,Debitis itaque possimus a.,En proceso,2022-04-07,2022-09-27,Civil,Pendiente,Propiedad y posesión
200,82,32,Maxime nulla iste soluta.,Abierto,2023-02-14,2024-07-24,Ambiental,Pendiente,Licencia ambiental
201,1004,17,Omnis repellat quam iusto.,Cerrado,2020-06-08,2021-08-15,Administrativo,Acuerdo,Licencias y permisos
202,721,4,Velit eius perferendis officiis temporibus saepe error.,Cerrado,2022-01-03,2023-01-29,Penal,Acuerdo,Lesiones personales
203,127,14,Repudiandae optio cumque iure ipsum officiis quisquam animi.,En proceso,2022-06-29,2024-08-01,Mercantil,Pendiente,Quiebra o insolvencia
204,574,27,Cupiditate cumque delectus iure illo voluptas vitae.,Abierto,2021-03-18,2024-01-13,Internacional Público,Pendiente,Derechos humanos
205,282,21,Animi laborum adipisci voluptas.,Abierto,2022-06-08,2022-07-20,Constitucional,Pendiente,Conflicto de competencias
206,855,27,Sed esse repellat tempore vero natus illum aliquam.,Abierto,2020-11-20,2024-06-13,Internacional Público,Pendiente,Refugiados y asilo
207,640,11,Labore eligendi ratione velit ab iste.,En proceso,2022-10-01,2022-12-19,Laboral,Pendiente,Reclamación de salarios
208,270,31,Facere esse ratione natus rerum.,Abierto,2021-08-19,2021-09-09,Internacional Privado,Pendiente,Reconocimiento de sentencias extranjeras
209,283,11,Animi ex veritatis vitae quo autem minus.,Cerrado,2022-01-07,2022-03-20,Laboral,Acuerdo,Accidente de trabajo
