ID Caso,Fecha de Facturación,Fecha de Pago,Tarifa por Hora,Deuda Pendiente,Pagos Recibidos
252,2023-05-24,,101.88,2074.99,166.37
253,2023-12-21,2023-12-23,267.88,0.0,10179.44
254,2022-08-14,2023-01-05,103.3,0.0,9400.3
255,2021-03-04,,180.54,5437.42,3409.04
256,2024-09-25,,153.63,13212.25,1997.12
257,2023-11-03,,147.08,434.47,7213.69
258,2024-02-03,,70.47,469.01,940.39
259,2022-04-24,,203.65,1232.99,15466.31
260,2020-11-29,,242.25,5346.26,13791.49
261,2023-10-18,,254.0,4876.4,7315.6
262,2023-10-13,,192.68,1508.69,9281.39
263,2020-12-19,,72.26,407.96,1254.02
264,2022-10-28,,243.99,2497.0,20194.07
265,2024-07-26,,151.77,187.52,1330.18
266,2024-02-18,,114.16,1363.24,7198.76
267,2021-03-09,,52.89,916.95,3948.93
268,2023-04-20,,149.59,5361.66,6755.13
269,2021-12-02,,214.48,3420.42,5587.74
270,2022-05-30,2022-06-14,121.91,0.0,6826.96
271,2024-02-07,,181.11,9223.46,6170.89
272,2022-11-28,2023-02-01,221.6,0.0,4653.6
273,2022-04-10,,127.11,7874.37,1150.44
274,2024-07-09,2024-09-23,144.62,0.0,9834.16
275,2023-04-24,,71.68,1117.3,531.34
276,2023-07-21,2023-11-02,180.25,0.0,18025.0
277,2023-12-23,2024-06-16,52.06,0.0,2655.06
278,2021-11-05,,118.05,6616.76,112.09
279,2021-07-14,,86.72,4995.2,1855.68
280,2021-07-11,2021-11-18,249.7,0.0,9988.0
281,2023-12-19,,171.37,4155.23,1499.98
282,2023-11-10,,240.51,1794.16,3978.08
283,2023-11-21,,73.18,1849.88,3053.18
284,2024-05-04,2024-06-10,127.68,0.0,7277.76
285,2023-02-20,,140.41,5004.52,4122.13
286,2021-05-04,,180.67,11293.58,1895.33
287,2023-06-25,,66.9,128.46,4153.14
288,2023-09-22,2023-09-24,290.55,0.0,7263.75
289,2024-04-07,,144.92,2238.24,5442.52
290,2022-10-06,,168.16,4836.3,376.66
291,2021-09-08,2021-09-30,244.28,0.0,23206.6
292,2024-06-05,,123.88,1380.78,477.42
293,2022-12-20,,121.54,1143.66,1651.76
294,2024-07-22,2024-08-24,252.69,0.0,23247.48
295,2024-07-06,,158.03,6985.8,6130.69
296,2023-01-24,,247.96,8249.55,2412.73
297,2021-01-11,2021-11-23,229.24,0.0,19485.4
298,2024-09-19,,259.47,8234.85,8630.7
299,2023-01-23,,82.71,1802.49,2415.72
300,2023-02-18,,104.9,1121.18,1081.72
301,2021-06-24,,107.28,5968.8,2828.16
302,2025-01-02,2025-01-28,104.59,0.0,5752.45
303,2023-03-10,,138.31,826.76,3.1
304,2022-11-18,2024-01-14,221.86,0.0,16195.78
305,2024-08-15,2024-10-04,153.83,0.0,11229.59
306,2021-05-21,2021-06-04,115.36,0.0,3691.52
307,2022-05-06,2022-10-19,150.22,0.0,8262.1
308,2022-10-13,,107.9,2409.76,611.44
309,2021-05-08,,78.12,1897.89,3648.63
310,2022-01-01,,72.09,6718.58,129.97
311,2024-11-21,2024-12-09,140.36,0.0,10527.0
312,2024-06-05,,76.1,3498.7,839.0
313,2021-07-11,,102.4,4473.75,3308.65
314,2023-04-02,,68.24,2607.94,735.82
315,2023-03-28,2023-04-25,252.85,0.0,14159.6
316,2024-01-23,,68.75,885.29,1383.46
317,2022-10-21,2023-05-08,174.85,0.0,4371.25
318,2024-02-01,,71.76,3309.3,3651.42
319,2020-09-04,,214.67,741.43,16002.83
320,2024-05-07,2024-05-11,193.07,0.0,12356.48
321,2024-05-02,,79.54,530.78,1696.34
322,2022-03-29,2022-05-19,295.23,0.0,11513.97
323,2023-11-03,2023-11-11,160.98,0.0,4829.4
324,2023-04-16,,127.06,9649.76,1023.28
325,2021-12-29,2022-06-11,156.0,0.0,7488.0
326,2024-12-14,,180.94,6504.71,9960.83
327,2022-05-08,,254.46,14385.28,5971.52
328,2024-02-22,,174.05,2793.56,1731.74
329,2024-04-02,2025-04-01,241.3,0.0,11823.7
330,2023-11-28,,293.11,27015.75,2295.25
331,2022-11-16,,129.93,331.05,838.32
332,2023-01-25,,200.13,441.13,559.52
333,2023-03-30,,114.67,699.92,217.44
334,2023-01-07,,103.98,4751.84,5438.2
335,2021-03-31,2021-10-20,60.72,0.0,2428.8
336,2023-10-14,,291.9,10655.97,1020.03
337,2022-03-18,,252.7,17823.2,6183.3
338,2022-03-07,,269.87,9830.03,5552.56
339,2023-10-02,,272.71,7990.31,7008.74
340,2020-12-09,,275.86,1471.14,6804.66
341,2022-12-04,,63.34,992.01,21.43
342,2023-11-19,2024-01-17,115.59,0.0,7397.76
343,2023-07-15,,112.9,2870.98,2322.42
344,2022-05-15,2022-09-08,277.82,0.0,25003.8
345,2025-04-17,2025-04-21,265.18,0.0,17236.7
346,2022-03-18,,220.05,257.72,4143.28
347,2021-12-17,,197.06,339.34,8134.24
348,2021-11-22,,278.34,11143.8,7783.32
349,2024-07-02,,261.26,11737.27,1586.99
350,2022-12-07,2023-01-22,58.95,0.0,3713.85
351,2022-10-20,,179.39,4725.21,4064.9
352,2023-12-15,,169.8,11199.52,686.48
353,2023-09-13,,267.28,13926.57,4515.75
354,2022-07-10,,257.16,60.13,9711.95
355,2024-11-09,2025-01-01,128.86,0.0,12886.0
356,2021-12-07,,155.83,2863.53,10226.19
357,2021-12-19,,278.02,252.89,2249.29
358,2021-05-16,,291.08,10701.01,3852.99
359,2024-02-25,2024-02-25,198.29,0.0,9914.5
360,2022-09-06,2022-10-24,79.37,0.0,6746.45
361,2022-05-25,2022-06-04,239.52,0.0,22275.36
362,2020-12-06,,291.93,10051.51,4253.06
363,2023-01-20,,161.77,2071.58,2943.29
364,2024-01-13,2024-01-18,171.5,0.0,15606.5
365,2024-06-26,2025-02-23,82.88,0.0,4144.0
366,2020-11-28,2021-06-01,141.28,0.0,9041.92
367,2022-12-26,,284.22,2414.8,3269.6
368,2022-03-26,2023-01-29,188.6,0.0,14899.4
369,2024-05-29,,57.61,3881.42,612.16
370,2023-09-22,,262.67,1483.36,19792.91
371,2023-09-02,,177.08,350.04,2129.08
372,2023-03-01,,173.29,3834.9,5176.18
373,2024-05-05,,161.84,1747.37,4888.07
374,2023-11-26,,227.67,1148.08,9552.41
375,2023-01-08,,219.44,2232.05,8301.07
376,2024-09-03,2024-09-28,161.69,0.0,13581.96
377,2021-01-01,,277.82,3395.06,3272.62
378,2024-08-21,2025-02-03,75.8,0.0,6518.8
379,2024-11-06,2024-11-15,134.1,0.0,4693.5
380,2024-03-03,,96.83,1115.55,821.05
381,2021-11-27,,203.19,709.62,306.33
382,2021-07-26,,241.49,1446.05,2417.79
383,2021-04-28,,217.06,12135.67,453.81
384,2020-12-12,,199.3,2844.32,344.48
385,2024-07-06,,227.04,6728.63,14159.05
386,2024-07-10,2024-07-21,60.64,0.0,303.2
387,2022-05-12,2022-06-17,298.57,0.0,3881.41
388,2020-11-11,,151.05,1782.84,13322.16
389,2021-07-21,,96.4,694.08,2005.12
390,2022-04-17,2022-09-27,212.06,0.0,6149.74
391,2020-11-04,,198.47,11749.62,5715.74
392,2021-06-28,,256.2,8013.19,3003.41
393,2022-07-14,,192.26,12146.77,6117.93
394,2024-05-16,,150.84,11360.18,1913.74
395,2024-04-28,,241.42,11808.32,7505.28
396,2024-07-28,,245.38,4272.35,1371.39
397,2024-10-26,2024-11-10,106.64,0.0,3305.84
398,2024-05-12,,218.87,2265.57,579.74
399,2021-09-27,,131.96,2234.05,4891.79
400,2024-01-19,,142.96,4481.48,4525.0
401,2021-10-23,,209.79,12661.8,4540.98
402,2023-08-28,,112.83,3433.4,741.31
403,2022-05-09,2022-06-09,177.53,0.0,10829.33
404,2025-01-10,,193.61,437.77,14663.81
405,2024-10-06,2024-12-19,129.15,0.0,9686.25
406,2021-05-25,,227.39,2070.57,13619.34
407,2023-11-08,,244.85,4076.42,1065.43
408,2023-06-16,,70.38,1785.31,959.51
409,2021-12-18,,168.27,13105.19,2880.46
410,2023-09-12,,206.88,3665.12,9988.96
411,2024-12-03,,294.59,3173.86,2128.76
412,2023-05-11,,202.4,8864.67,3481.73
413,2024-03-25,,149.54,1232.91,262.49
414,2020-11-13,2020-12-18,55.54,0.0,1277.42
415,2023-02-17,,218.61,4541.15,7701.01
416,2024-02-15,,261.36,1844.18,22200.94
417,2023-03-08,,262.35,2156.9,14371.15
418,2021-10-11,2023-05-25,266.26,0.0,10384.14
419,2023-12-19,,124.2,397.96,2458.64
420,2023-09-18,2024-01-30,234.8,0.0,18314.4
421,2022-12-19,,264.05,2186.11,21050.29
422,2022-10-29,,97.59,1209.34,4158.11
423,2022-10-18,,227.17,3545.0,8267.84
424,2024-02-25,2024-02-26,274.93,0.0,5498.6
425,2022-10-23,,257.11,18780.48,6930.52
426,2024-03-30,2024-06-07,225.02,0.0,18901.68
427,2022-07-03,,277.79,5457.61,15932.22
428,2021-12-19,,143.53,9213.52,1120.64
429,2022-12-18,,190.7,360.84,1164.76
430,2021-09-23,2023-06-27,273.12,0.0,21849.6
431,2022-03-15,,97.3,3264.98,6075.82
432,2021-11-19,,60.79,881.08,2097.63
433,2022-06-15,,260.23,16297.41,357.31
434,2024-04-10,,130.08,1039.51,1952.33
435,2021-12-14,,240.02,6984.56,13417.14
436,2022-08-14,,266.28,23263.16,3098.56
437,2024-09-08,,166.84,234.25,1600.99
438,2022-03-09,2022-06-23,282.27,0.0,25404.3
439,2023-11-06,2024-02-17,75.14,0.0,5785.78
440,2023-10-28,,291.04,14394.44,3650.04
441,2023-03-15,2024-04-14,91.81,0.0,826.29
442,2024-08-22,2024-09-04,258.48,0.0,25589.52
443,2023-05-19,,156.1,11462.68,4147.32
444,2020-12-08,,285.97,5872.63,5852.14
445,2024-05-09,2024-09-26,194.67,0.0,12653.55
446,2020-11-18,2021-04-05,260.59,0.0,21628.97
447,2022-06-03,2022-06-16,80.77,0.0,4280.81
448,2022-08-20,,103.22,1090.58,354.5
449,2024-04-29,,108.86,4206.02,910.4
450,2023-02-17,,172.74,5652.76,5748.08
451,2023-01-17,2023-04-11,263.62,0.0,21089.6
452,2022-04-17,2023-07-18,91.3,0.0,1917.3
453,2024-07-04,2024-07-23,133.91,0.0,803.46
454,2021-08-15,2021-10-28,143.38,0.0,12474.06
455,2022-01-13,,215.04,10794.14,10064.74
456,2023-03-03,,281.25,3666.96,270.54
457,2024-07-02,2024-07-02,204.73,0.0,14331.1
458,2023-11-22,,225.46,6439.86,5284.06
459,2020-05-31,,272.48,403.74,16762.5
460,2021-12-04,,76.54,6852.16,495.68
461,2023-01-05,2023-01-07,119.6,0.0,9448.4
462,2023-11-17,,186.42,6173.13,9858.99
463,2021-05-21,2021-07-02,130.24,0.0,9377.28
464,2024-02-01,,97.16,3859.76,2261.32
465,2021-08-12,,153.01,11805.31,2271.61
466,2022-11-12,2023-01-06,297.29,0.0,1486.45
467,2023-12-06,,205.75,16060.02,3280.48
468,2021-07-26,,161.21,10227.27,4281.63
469,2023-12-04,,114.8,10037.88,523.72
470,2023-12-09,,281.58,2975.52,17298.24
471,2022-05-11,2023-02-10,139.37,0.0,7665.35
472,2023-12-18,,235.05,102.68,1072.57
473,2021-04-06,,178.65,9706.11,4943.19
474,2024-03-20,2024-07-16,104.58,0.0,3137.4
475,2022-03-15,2022-03-15,276.2,0.0,25962.8
476,2023-11-04,2024-06-29,92.61,0.0,1111.32
477,2024-07-24,,79.04,6525.29,746.39
478,2022-12-20,,51.71,607.8,167.85
479,2022-03-12,,80.18,359.22,1645.28
480,2024-02-13,,88.04,723.48,6671.88
481,2024-06-30,2024-08-11,141.0,0.0,6063.0
482,2021-09-29,,287.36,449.28,4723.2
483,2023-12-13,2024-04-18,87.38,0.0,1660.22
484,2024-05-24,,241.88,6012.24,2453.56
485,2023-11-17,2023-11-24,258.41,0.0,21964.85
486,2023-12-22,2024-01-16,258.76,0.0,9574.12
487,2024-04-03,2025-03-04,168.52,0.0,1348.16
488,2021-07-28,,215.17,7955.91,7751.5
489,2023-08-05,,83.52,460.34,374.86
490,2023-03-31,2023-04-12,58.95,0.0,3065.4
491,2021-02-27,,238.58,3139.09,19764.59
492,2023-07-08,,95.71,3332.85,1356.94
493,2024-07-16,,182.96,13051.8,3414.6
494,2023-03-07,,228.33,8100.75,9937.32
495,2024-09-06,2024-09-19,281.98,0.0,21994.44
496,2024-07-28,2024-08-02,244.27,0.0,15389.01
497,2023-12-10,2024-06-08,278.52,0.0,24509.76
498,2023-09-05,,255.15,14196.8,10552.75
499,2025-01-12,,295.85,25948.98,85.82
500,2022-09-07,,202.99,9118.74,2248.7
501,2020-12-25,2021-05-21,186.71,0.0,1120.26
502,2022-05-30,,139.75,11580.87,2394.13
503,2024-01-09,,235.62,18239.9,1316.56
504,2021-05-15,,280.96,4652.57,123.75
505,2023-10-21,,138.87,11275.56,111.78
506,2021-11-16,2021-12-12,85.17,0.0,3236.46
507,2022-05-28,,166.53,11.58,1653.72
508,2023-04-19,,78.01,5094.63,444.08
509,2022-08-04,,205.52,8568.2,11367.24
510,2023-05-10,,237.28,238.99,4981.17
511,2024-09-17,,129.29,5892.29,4321.62
512,2023-05-19,,274.42,9938.83,10093.83
513,2023-02-06,2024-06-09,292.77,0.0,11125.26
514,2024-02-21,,73.88,391.26,125.9
515,2020-11-11,2021-06-21,68.95,0.0,2551.15
516,2023-02-24,2023-06-18,179.45,0.0,10587.55
517,2024-05-29,2024-06-15,161.4,0.0,13719.0
518,2022-09-18,,265.47,1258.93,333.89
519,2021-08-14,,103.26,2219.02,982.04
520,2021-07-31,2021-07-31,55.2,0.0,3036.0
521,2024-02-10,,99.82,2319.02,1174.68
522,2021-04-24,,86.69,6955.39,1020.09
523,2023-11-18,2023-12-12,82.62,0.0,1239.3
524,2022-02-16,,188.58,8079.2,10024.48
525,2024-01-05,,69.11,870.3,1341.22
526,2022-07-02,2022-07-18,164.12,0.0,14114.32
527,2023-01-28,2023-07-04,79.23,0.0,2931.51
528,2023-07-28,2023-07-29,247.59,0.0,24016.23
529,2023-04-22,,290.46,7863.24,15083.1
530,2023-01-13,,251.21,11756.22,5828.48
531,2024-05-13,2024-05-13,109.61,0.0,6028.55
532,2024-03-08,,241.8,15612.22,3489.98
533,2024-06-29,2024-09-07,285.79,0.0,9716.86
534,2024-04-03,,189.73,6178.28,1410.92
535,2023-04-11,,120.6,596.78,488.62
536,2022-10-04,,91.19,897.42,7856.82
537,2024-11-30,,244.91,7441.92,14844.89
538,2023-12-10,,245.57,6162.24,4151.7
539,2023-07-10,2023-09-30,223.51,0.0,9834.44
540,2024-06-04,,286.8,18346.02,1156.38
541,2024-10-08,,165.8,765.07,229.73
542,2024-03-05,,106.03,455.01,393.23
543,2024-02-17,,297.97,6740.16,12925.86
544,2021-06-04,2021-08-18,249.52,0.0,8483.68
545,2023-08-02,2024-04-23,90.21,0.0,5773.44
546,2024-04-08,2024-11-28,282.27,0.0,25968.84
547,2024-02-19,2024-04-14,83.97,0.0,1259.55
548,2022-11-23,2022-12-12,165.93,0.0,13440.33
