ID Caso,Horas Trabajadas,Gastos Administrativos,Otros Recursos,Monto Otros Recursos,Descripción
26,53,655.68,"Copias certificadas, Gastos de mensajería, Tasas judiciales, Desplazamientos, Gastos de investigación",1365.92,"Copias certificadas: $386.75, Gastos de mensajería: $108.46, Tasas judiciales: $278.41, Desplazamientos: $310.0, Gastos de investigación: $282.3"
27,92,675.15,"Gastos de mensajería, Desplazamientos, Traducción de documentos, Gastos de mediación",1012.0899999999999,"Gastos de mensajería: $102.57, Desplazamientos: $160.89, Traducción de documentos: $426.7, Gastos de mediación: $321.93"
28,81,395.52,Gastos de investigación,457.86,Gastos de investigación: $457.86
29,11,893.74,"Copias certificadas, Consultoría externa",741.22,"Copias certificadas: $354.54, Consultoría externa: $386.68"
30,23,520.67,"Gastos de digitalización, Gastos de archivo, Consultoría externa, Desplazamientos, Gastos de conciliación",1919.56,"Gastos de digitalización: $343.38, Gastos de archivo: $295.74, Consultoría externa: $395.15, Desplazamientos: $399.17, Gastos de conciliación: $486.12"
31,11,755.2,"Peritaje, Gastos de investigación, Gastos de correspondencia, Tasas judiciales, Copias certificadas",1491.1399999999999,"Peritaje: $273.4, Gastos de investigación: $178.06, Gastos de correspondencia: $312.08, Tasas judiciales: $325.27, Copias certificadas: $402.33"
32,40,462.69,"Gastos de digitalización, Gastos de conciliación, Gastos de mensajería",676.65,"Gastos de digitalización: $174.7, Gastos de conciliación: $432.5, Gastos de mensajería: $69.45"
33,26,688.77,"Desplazamientos, Gastos de investigación",601.54,"Desplazamientos: $397.03, Gastos de investigación: $204.51"
34,62,396.45,"Traducción de documentos, Gastos de mediación, Desplazamientos, Peritaje, Gastos de mensajería",1406.2,"Traducción de documentos: $162.27, Gastos de mediación: $310.88, Desplazamientos: $463.82, Peritaje: $144.18, Gastos de mensajería: $325.05"
35,95,733.64,Tasas judiciales,415.57,Tasas judiciales: $415.57
36,59,547.19,"Consultoría externa, Gastos de digitalización, Honorarios de testigos",1107.92,"Consultoría externa: $252.7, Gastos de digitalización: $390.35, Honorarios de testigos: $464.87"
37,75,996.47,"Consultoría externa, Gastos de mensajería, Copias certificadas, Gastos de digitalización",1249.29,"Consultoría externa: $354.74, Gastos de mensajería: $269.96, Copias certificadas: $479.86, Gastos de digitalización: $144.73"
38,17,102.35,"Tasas judiciales, Desplazamientos, Traducción de documentos, Gastos de investigación",1158.3400000000001,"Tasas judiciales: $336.57, Desplazamientos: $136.99, Traducción de documentos: $345.92, Gastos de investigación: $338.86"
39,32,913.77,"Gastos de archivo, Notificaciones, Gastos de digitalización, Copias certificadas",759.88,"Gastos de archivo: $138.82, Notificaciones: $370.22, Gastos de digitalización: $194.7, Copias certificadas: $56.14"
40,80,268.56,"Consultoría externa, Honorarios de testigos",426.4,"Consultoría externa: $356.95, Honorarios de testigos: $69.45"
41,22,356.27,"Honorarios de testigos, Copias certificadas, Notificaciones, Tasas judiciales",1303.42,"Honorarios de testigos: $157.05, Copias certificadas: $362.46, Notificaciones: $369.92, Tasas judiciales: $413.99"
42,38,897.61,"Gastos de mediación, Peritaje, Copias certificadas, Notificaciones, Gastos de correspondencia",1077.48,"Gastos de mediación: $160.55, Peritaje: $266.93, Copias certificadas: $83.68, Notificaciones: $240.75, Gastos de correspondencia: $325.57"
43,95,133.07,"Honorarios de testigos, Gastos de mediación, Tasas judiciales",1054.75,"Honorarios de testigos: $494.01, Gastos de mediación: $68.86, Tasas judiciales: $491.88"
44,65,424.41,"Desplazamientos, Gastos de mensajería",639.47,"Desplazamientos: $169.46, Gastos de mensajería: $470.01"
45,65,671.38,"Traducción de documentos, Gastos de conciliación, Notificaciones, Gastos de correspondencia",900.3,"Traducción de documentos: $297.96, Gastos de conciliación: $162.18, Notificaciones: $348.2, Gastos de correspondencia: $91.96"
46,98,126.7,Gastos de digitalización,238.31,Gastos de digitalización: $238.31
47,18,313.17,"Gastos de digitalización, Notificaciones",751.3199999999999,"Gastos de digitalización: $457.86, Notificaciones: $293.46"
48,8,331.0,"Gastos de mensajería, Desplazamientos, Consultoría externa",576.46,"Gastos de mensajería: $362.74, Desplazamientos: $161.75, Consultoría externa: $51.97"
49,48,821.81,"Honorarios de testigos, Peritaje, Notificaciones, Desplazamientos, Copias certificadas",1447.1599999999999,"Honorarios de testigos: $367.56, Peritaje: $242.92, Notificaciones: $274.88, Desplazamientos: $269.28, Copias certificadas: $292.52"
50,32,750.86,"Tasas judiciales, Desplazamientos",572.28,"Tasas judiciales: $436.02, Desplazamientos: $136.26"
51,91,724.85,Peritaje,283.8,Peritaje: $283.8
52,56,265.39,"Desplazamientos, Gastos de archivo",533.95,"Desplazamientos: $57.82, Gastos de archivo: $476.13"
53,61,488.5,"Honorarios de testigos, Gastos de investigación, Peritaje",808.71,"Honorarios de testigos: $230.18, Gastos de investigación: $256.06, Peritaje: $322.47"
54,64,960.57,Gastos de correspondencia,374.59,Gastos de correspondencia: $374.59
55,27,129.85,"Gastos de archivo, Gastos de digitalización",333.15,"Gastos de archivo: $143.95, Gastos de digitalización: $189.2"
56,65,166.5,Desplazamientos,132.04,Desplazamientos: $132.04
57,92,766.57,"Gastos de archivo, Gastos de mediación",763.43,"Gastos de archivo: $335.84, Gastos de mediación: $427.59"
58,53,907.94,"Notificaciones, Traducción de documentos, Peritaje, Honorarios de testigos, Copias certificadas",955.18,"Notificaciones: $61.2, Traducción de documentos: $88.27, Peritaje: $128.0, Honorarios de testigos: $238.06, Copias certificadas: $439.65"
59,23,761.8,"Copias certificadas, Gastos de investigación, Tasas judiciales, Gastos de conciliación, Gastos de mensajería",1249.62,"Copias certificadas: $131.82, Gastos de investigación: $400.73, Tasas judiciales: $192.0, Gastos de conciliación: $329.2, Gastos de mensajería: $195.87"
60,61,963.99,"Gastos de correspondencia, Notificaciones, Peritaje, Desplazamientos, Copias certificadas",1509.32,"Gastos de correspondencia: $117.83, Notificaciones: $361.84, Peritaje: $283.35, Desplazamientos: $362.17, Copias certificadas: $384.13"
61,26,223.62,"Gastos de archivo, Consultoría externa, Peritaje, Gastos de mensajería",1058.44,"Gastos de archivo: $166.41, Consultoría externa: $366.66, Peritaje: $214.55, Gastos de mensajería: $310.82"
62,67,955.73,"Peritaje, Gastos de digitalización, Gastos de archivo, Desplazamientos",1627.95,"Peritaje: $418.31, Gastos de digitalización: $419.86, Gastos de archivo: $341.03, Desplazamientos: $448.75"
63,93,519.2,"Gastos de correspondencia, Gastos de digitalización, Honorarios de testigos",640.93,"Gastos de correspondencia: $129.6, Gastos de digitalización: $257.46, Honorarios de testigos: $253.87"
64,68,490.58,"Gastos de mensajería, Peritaje, Tasas judiciales, Gastos de digitalización, Gastos de archivo",1099.19,"Gastos de mensajería: $172.66, Peritaje: $193.14, Tasas judiciales: $260.65, Gastos de digitalización: $398.95, Gastos de archivo: $73.79"
65,83,990.01,"Consultoría externa, Gastos de archivo, Tasas judiciales, Notificaciones, Gastos de correspondencia",1095.04,"Consultoría externa: $187.84, Gastos de archivo: $229.5, Tasas judiciales: $77.58, Notificaciones: $319.43, Gastos de correspondencia: $280.69"
66,92,947.36,"Gastos de mensajería, Traducción de documentos, Tasas judiciales, Peritaje",800.9,"Gastos de mensajería: $50.59, Traducción de documentos: $138.14, Tasas judiciales: $271.71, Peritaje: $340.46"
67,54,999.51,"Consultoría externa, Gastos de correspondencia, Peritaje, Copias certificadas",1069.79,"Consultoría externa: $83.42, Gastos de correspondencia: $427.7, Peritaje: $338.57, Copias certificadas: $220.1"
68,78,892.11,"Gastos de investigación, Traducción de documentos, Notificaciones",999.3700000000001,"Gastos de investigación: $259.8, Traducción de documentos: $285.66, Notificaciones: $453.91"
69,38,116.21,"Copias certificadas, Honorarios de testigos, Gastos de investigación",675.5,"Copias certificadas: $358.55, Honorarios de testigos: $87.44, Gastos de investigación: $229.51"
70,15,801.5,"Consultoría externa, Gastos de investigación, Gastos de mensajería, Gastos de correspondencia, Peritaje",1325.9099999999999,"Consultoría externa: $285.03, Gastos de investigación: $51.24, Gastos de mensajería: $366.1, Gastos de correspondencia: $262.08, Peritaje: $361.46"
71,67,531.58,Honorarios de testigos,126.75,Honorarios de testigos: $126.75
72,97,498.37,"Gastos de digitalización, Gastos de mensajería, Peritaje, Gastos de correspondencia",907.27,"Gastos de digitalización: $151.74, Gastos de mensajería: $241.09, Peritaje: $296.59, Gastos de correspondencia: $217.85"
73,94,933.74,"Desplazamientos, Traducción de documentos, Gastos de investigación",653.89,"Desplazamientos: $74.17, Traducción de documentos: $488.5, Gastos de investigación: $91.22"
74,5,833.72,Gastos de investigación,261.04,Gastos de investigación: $261.04
75,99,360.15,"Peritaje, Honorarios de testigos",278.24,"Peritaje: $71.63, Honorarios de testigos: $206.61"
76,92,110.76,"Gastos de mediación, Gastos de investigación",392.75,"Gastos de mediación: $328.0, Gastos de investigación: $64.75"
77,84,874.09,"Honorarios de testigos, Gastos de archivo, Gastos de conciliación, Gastos de digitalización",1302.59,"Honorarios de testigos: $263.02, Gastos de archivo: $341.79, Gastos de conciliación: $353.5, Gastos de digitalización: $344.28"
78,34,445.22,"Honorarios de testigos, Gastos de archivo, Gastos de mediación, Tasas judiciales",1149.14,"Honorarios de testigos: $386.67, Gastos de archivo: $164.48, Gastos de mediación: $392.04, Tasas judiciales: $205.95"
79,83,414.3,"Gastos de investigación, Gastos de correspondencia, Notificaciones",340.69,"Gastos de investigación: $75.27, Gastos de correspondencia: $87.52, Notificaciones: $177.9"
80,61,995.83,"Peritaje, Gastos de conciliación, Gastos de digitalización",1026.05,"Peritaje: $355.97, Gastos de conciliación: $214.87, Gastos de digitalización: $455.21"
81,83,580.22,"Gastos de conciliación, Desplazamientos, Gastos de correspondencia, Gastos de digitalización",1391.1599999999999,"Gastos de conciliación: $383.7, Desplazamientos: $397.15, Gastos de correspondencia: $359.03, Gastos de digitalización: $251.28"
82,53,409.15,Gastos de digitalización,288.59,Gastos de digitalización: $288.59
83,63,368.45,Gastos de conciliación,213.43,Gastos de conciliación: $213.43
84,71,817.27,"Gastos de mensajería, Gastos de archivo, Gastos de digitalización",622.13,"Gastos de mensajería: $65.69, Gastos de archivo: $76.24, Gastos de digitalización: $480.2"
85,26,608.44,"Gastos de mediación, Peritaje, Gastos de investigación",573.76,"Gastos de mediación: $209.97, Peritaje: $164.97, Gastos de investigación: $198.82"
86,60,198.35,"Honorarios de testigos, Gastos de conciliación, Copias certificadas",1062.6,"Honorarios de testigos: $192.8, Gastos de conciliación: $488.31, Copias certificadas: $381.49"
87,16,434.75,Gastos de correspondencia,365.51,Gastos de correspondencia: $365.51
88,14,754.21,"Desplazamientos, Gastos de investigación, Gastos de correspondencia",1128.78,"Desplazamientos: $453.68, Gastos de investigación: $324.36, Gastos de correspondencia: $350.74"
89,26,693.17,"Gastos de digitalización, Gastos de archivo, Desplazamientos",526.24,"Gastos de digitalización: $103.0, Gastos de archivo: $349.7, Desplazamientos: $73.54"
90,30,233.02,"Gastos de mediación, Gastos de digitalización, Consultoría externa",893.5899999999999,"Gastos de mediación: $53.74, Gastos de digitalización: $391.71, Consultoría externa: $448.14"
91,38,895.93,"Tasas judiciales, Gastos de investigación, Notificaciones, Peritaje, Honorarios de testigos",1741.3,"Tasas judiciales: $433.2, Gastos de investigación: $183.43, Notificaciones: $421.81, Peritaje: $420.19, Honorarios de testigos: $282.67"
92,75,104.43,"Notificaciones, Traducción de documentos, Gastos de conciliación, Gastos de mensajería, Tasas judiciales",1393.47,"Notificaciones: $487.28, Traducción de documentos: $164.92, Gastos de conciliación: $377.98, Gastos de mensajería: $176.02, Tasas judiciales: $187.27"
93,36,172.54,"Traducción de documentos, Tasas judiciales, Gastos de mediación, Consultoría externa",1760.28,"Traducción de documentos: $463.48, Tasas judiciales: $356.99, Gastos de mediación: $494.0, Consultoría externa: $445.81"
94,63,409.72,"Tasas judiciales, Honorarios de testigos",704.8,"Tasas judiciales: $290.9, Honorarios de testigos: $413.9"
95,28,523.57,"Gastos de archivo, Consultoría externa, Gastos de digitalización, Gastos de investigación",1195.01,"Gastos de archivo: $328.4, Consultoría externa: $315.36, Gastos de digitalización: $293.79, Gastos de investigación: $257.46"
96,47,942.06,"Gastos de mensajería, Tasas judiciales, Gastos de conciliación, Gastos de correspondencia, Traducción de documentos",1249.15,"Gastos de mensajería: $156.02, Tasas judiciales: $51.92, Gastos de conciliación: $463.13, Gastos de correspondencia: $466.79, Traducción de documentos: $111.29"
97,32,991.94,"Gastos de correspondencia, Peritaje, Gastos de mediación, Honorarios de testigos",1291.59,"Gastos de correspondencia: $483.15, Peritaje: $245.73, Gastos de mediación: $362.92, Honorarios de testigos: $199.79"
98,79,357.71,"Gastos de correspondencia, Copias certificadas, Consultoría externa, Gastos de archivo",846.5,"Gastos de correspondencia: $62.25, Copias certificadas: $118.94, Consultoría externa: $175.46, Gastos de archivo: $489.85"
99,82,222.49,"Desplazamientos, Traducción de documentos, Gastos de digitalización",1137.34,"Desplazamientos: $491.53, Traducción de documentos: $234.32, Gastos de digitalización: $411.49"
100,35,691.51,Gastos de conciliación,259.4,Gastos de conciliación: $259.4
101,37,931.42,"Copias certificadas, Traducción de documentos, Desplazamientos",686.04,"Copias certificadas: $65.81, Traducción de documentos: $367.95, Desplazamientos: $252.28"
102,11,683.83,"Gastos de investigación, Notificaciones, Gastos de conciliación, Gastos de correspondencia",1147.33,"Gastos de investigación: $371.96, Notificaciones: $458.8, Gastos de conciliación: $80.33, Gastos de correspondencia: $236.24"
103,63,288.74,"Desplazamientos, Copias certificadas, Traducción de documentos",838.71,"Desplazamientos: $409.91, Copias certificadas: $97.31, Traducción de documentos: $331.49"
104,67,915.55,"Consultoría externa, Tasas judiciales",701.89,"Consultoría externa: $292.81, Tasas judiciales: $409.08"
105,45,489.71,"Honorarios de testigos, Gastos de archivo, Consultoría externa",583.94,"Honorarios de testigos: $199.1, Gastos de archivo: $230.6, Consultoría externa: $154.24"
106,42,248.72,Consultoría externa,468.54,Consultoría externa: $468.54
107,92,489.51,"Notificaciones, Traducción de documentos, Gastos de correspondencia",1040.31,"Notificaciones: $461.69, Traducción de documentos: $285.49, Gastos de correspondencia: $293.13"
108,45,856.63,"Gastos de mensajería, Desplazamientos, Gastos de archivo, Gastos de mediación, Gastos de conciliación",1715.69,"Gastos de mensajería: $286.69, Desplazamientos: $189.57, Gastos de archivo: $291.59, Gastos de mediación: $450.75, Gastos de conciliación: $497.09"
109,62,833.04,"Notificaciones, Peritaje, Copias certificadas",588.29,"Notificaciones: $85.66, Peritaje: $149.1, Copias certificadas: $353.53"
110,63,880.71,"Copias certificadas, Gastos de mediación",179.25,"Copias certificadas: $121.7, Gastos de mediación: $57.55"
111,71,950.27,"Gastos de mensajería, Notificaciones, Gastos de conciliación, Tasas judiciales",1261.89,"Gastos de mensajería: $468.26, Notificaciones: $387.04, Gastos de conciliación: $295.31, Tasas judiciales: $111.28"
112,48,983.4,"Tasas judiciales, Notificaciones",670.5799999999999,"Tasas judiciales: $288.13, Notificaciones: $382.45"
113,24,699.25,"Tasas judiciales, Consultoría externa, Copias certificadas, Gastos de mensajería",950.46,"Tasas judiciales: $246.93, Consultoría externa: $86.0, Copias certificadas: $384.52, Gastos de mensajería: $233.01"
114,33,672.95,"Gastos de investigación, Gastos de correspondencia, Honorarios de testigos",1295.83,"Gastos de investigación: $415.97, Gastos de correspondencia: $389.48, Honorarios de testigos: $490.38"
115,36,866.23,"Gastos de correspondencia, Desplazamientos, Notificaciones",915.9200000000001,"Gastos de correspondencia: $136.8, Desplazamientos: $342.67, Notificaciones: $436.45"
116,87,291.67,Peritaje,164.61,Peritaje: $164.61
117,95,932.02,"Tasas judiciales, Copias certificadas, Peritaje, Notificaciones, Gastos de correspondencia",1238.28,"Tasas judiciales: $149.28, Copias certificadas: $336.21, Peritaje: $421.21, Notificaciones: $126.6, Gastos de correspondencia: $204.98"
118,7,237.15,"Gastos de conciliación, Gastos de mensajería",445.86,"Gastos de conciliación: $68.79, Gastos de mensajería: $377.07"
119,42,984.76,"Consultoría externa, Gastos de archivo, Gastos de mediación, Gastos de conciliación",1708.9299999999998,"Consultoría externa: $357.77, Gastos de archivo: $491.5, Gastos de mediación: $408.09, Gastos de conciliación: $451.57"
120,42,459.76,"Tasas judiciales, Consultoría externa, Gastos de digitalización, Traducción de documentos",1300.3899999999999,"Tasas judiciales: $211.86, Consultoría externa: $312.7, Gastos de digitalización: $336.93, Traducción de documentos: $438.9"
121,34,338.1,"Desplazamientos, Gastos de digitalización, Gastos de conciliación, Honorarios de testigos, Gastos de correspondencia",1741.03,"Desplazamientos: $323.92, Gastos de digitalización: $183.66, Gastos de conciliación: $484.41, Honorarios de testigos: $281.7, Gastos de correspondencia: $467.34"
122,68,163.5,"Copias certificadas, Notificaciones",700.87,"Copias certificadas: $370.25, Notificaciones: $330.62"
123,41,315.24,"Gastos de archivo, Honorarios de testigos, Gastos de digitalización, Consultoría externa, Tasas judiciales",1647.93,"Gastos de archivo: $463.11, Honorarios de testigos: $246.97, Gastos de digitalización: $54.76, Consultoría externa: $432.06, Tasas judiciales: $451.03"
124,45,153.24,"Gastos de investigación, Gastos de digitalización, Gastos de mensajería, Notificaciones, Desplazamientos",999.24,"Gastos de investigación: $173.56, Gastos de digitalización: $269.69, Gastos de mensajería: $60.81, Notificaciones: $299.82, Desplazamientos: $195.36"
125,96,320.45,Copias certificadas,436.75,Copias certificadas: $436.75
126,93,554.1,Copias certificadas,374.6,Copias certificadas: $374.6
127,53,388.42,"Copias certificadas, Honorarios de testigos",571.98,"Copias certificadas: $240.93, Honorarios de testigos: $331.05"
128,14,296.61,Traducción de documentos,214.69,Traducción de documentos: $214.69
129,30,386.89,"Peritaje, Notificaciones, Gastos de investigación, Gastos de conciliación",854.02,"Peritaje: $252.43, Notificaciones: $124.57, Gastos de investigación: $395.13, Gastos de conciliación: $81.89"
130,82,433.77,"Honorarios de testigos, Tasas judiciales, Gastos de mediación, Gastos de archivo, Gastos de investigación",1566.71,"Honorarios de testigos: $454.09, Tasas judiciales: $209.05, Gastos de mediación: $272.59, Gastos de archivo: $305.76, Gastos de investigación: $325.22"
131,48,668.39,"Gastos de mediación, Gastos de investigación",527.45,"Gastos de mediación: $224.03, Gastos de investigación: $303.42"
132,43,381.65,"Gastos de correspondencia, Traducción de documentos, Consultoría externa",478.36,"Gastos de correspondencia: $150.92, Traducción de documentos: $205.24, Consultoría externa: $122.2"
133,89,680.71,"Notificaciones, Gastos de conciliación, Peritaje",1324.62,"Notificaciones: $474.08, Gastos de conciliación: $452.4, Peritaje: $398.14"
134,14,436.83,"Gastos de investigación, Honorarios de testigos, Traducción de documentos, Gastos de conciliación",1210.15,"Gastos de investigación: $324.62, Honorarios de testigos: $369.39, Traducción de documentos: $91.64, Gastos de conciliación: $424.5"
135,42,526.23,"Notificaciones, Peritaje, Gastos de conciliación",896.46,"Notificaciones: $142.03, Peritaje: $405.27, Gastos de conciliación: $349.16"
136,84,755.9,"Copias certificadas, Peritaje, Consultoría externa, Gastos de mediación",1125.07,"Copias certificadas: $398.57, Peritaje: $113.67, Consultoría externa: $477.98, Gastos de mediación: $134.85"
137,35,992.81,Gastos de conciliación,125.84,Gastos de conciliación: $125.84
138,41,360.61,"Gastos de archivo, Copias certificadas",745.8299999999999,"Gastos de archivo: $499.4, Copias certificadas: $246.43"
139,7,179.69,Notificaciones,408.75,Notificaciones: $408.75
140,9,155.02,"Honorarios de testigos, Tasas judiciales",619.6,"Honorarios de testigos: $307.25, Tasas judiciales: $312.35"
141,66,372.24,"Traducción de documentos, Notificaciones, Gastos de conciliación",735.64,"Traducción de documentos: $459.9, Notificaciones: $156.5, Gastos de conciliación: $119.24"
142,75,819.92,Gastos de conciliación,101.23,Gastos de conciliación: $101.23
143,98,161.79,"Gastos de mensajería, Gastos de conciliación",491.15,"Gastos de mensajería: $276.05, Gastos de conciliación: $215.1"
144,92,267.08,"Gastos de correspondencia, Tasas judiciales",479.58,"Gastos de correspondencia: $242.38, Tasas judiciales: $237.2"
145,21,248.88,Notificaciones,61.66,Notificaciones: $61.66
146,94,145.67,"Traducción de documentos, Copias certificadas, Peritaje, Gastos de correspondencia, Gastos de mensajería",1375.27,"Traducción de documentos: $316.43, Copias certificadas: $187.39, Peritaje: $65.47, Gastos de correspondencia: $328.13, Gastos de mensajería: $477.85"
147,72,132.49,"Desplazamientos, Gastos de investigación, Gastos de correspondencia, Gastos de mensajería, Honorarios de testigos",1326.43,"Desplazamientos: $121.0, Gastos de investigación: $102.66, Gastos de correspondencia: $307.53, Gastos de mensajería: $354.25, Honorarios de testigos: $440.99"
148,90,236.44,"Desplazamientos, Consultoría externa, Gastos de mediación",809.61,"Desplazamientos: $417.49, Consultoría externa: $143.1, Gastos de mediación: $249.02"
149,85,740.37,Gastos de mensajería,488.21,Gastos de mensajería: $488.21
150,13,295.89,Peritaje,436.22,Peritaje: $436.22
151,77,786.46,Gastos de correspondencia,277.78,Gastos de correspondencia: $277.78
152,46,285.35,Traducción de documentos,157.63,Traducción de documentos: $157.63
153,36,567.31,"Gastos de archivo, Honorarios de testigos, Desplazamientos",499.65999999999997,"Gastos de archivo: $62.52, Honorarios de testigos: $271.89, Desplazamientos: $165.25"
154,49,167.72,"Tasas judiciales, Honorarios de testigos, Gastos de conciliación, Gastos de mediación",949.71,"Tasas judiciales: $119.07, Honorarios de testigos: $368.37, Gastos de conciliación: $343.86, Gastos de mediación: $118.41"
155,100,975.18,"Peritaje, Gastos de digitalización, Copias certificadas, Gastos de investigación",1082.39,"Peritaje: $273.86, Gastos de digitalización: $339.12, Copias certificadas: $377.64, Gastos de investigación: $91.77"
156,12,882.68,"Gastos de digitalización, Peritaje, Copias certificadas, Gastos de archivo",1145.93,"Gastos de digitalización: $325.42, Peritaje: $436.87, Copias certificadas: $142.6, Gastos de archivo: $241.04"
157,49,223.23,"Desplazamientos, Gastos de archivo, Gastos de correspondencia",988.4,"Desplazamientos: $228.75, Gastos de archivo: $322.07, Gastos de correspondencia: $437.58"
158,32,622.0,"Peritaje, Gastos de correspondencia, Tasas judiciales, Traducción de documentos",1397.28,"Peritaje: $383.99, Gastos de correspondencia: $193.22, Tasas judiciales: $418.46, Traducción de documentos: $401.61"
159,13,293.94,"Gastos de investigación, Peritaje, Consultoría externa",549.02,"Gastos de investigación: $239.39, Peritaje: $162.34, Consultoría externa: $147.29"
160,56,401.55,"Gastos de conciliación, Tasas judiciales, Gastos de mensajería, Gastos de correspondencia, Consultoría externa",1493.39,"Gastos de conciliación: $362.07, Tasas judiciales: $298.43, Gastos de mensajería: $330.37, Gastos de correspondencia: $342.99, Consultoría externa: $159.53"
161,78,854.62,"Consultoría externa, Gastos de digitalización",911.2,"Consultoría externa: $450.2, Gastos de digitalización: $461.0"
162,52,792.37,"Gastos de mediación, Gastos de mensajería, Honorarios de testigos",779.19,"Gastos de mediación: $192.36, Gastos de mensajería: $441.62, Honorarios de testigos: $145.21"
163,58,775.89,"Gastos de correspondencia, Gastos de mensajería",408.01000000000005,"Gastos de correspondencia: $283.72, Gastos de mensajería: $124.29"
164,74,578.7,"Gastos de correspondencia, Copias certificadas, Consultoría externa, Gastos de mediación, Tasas judiciales",1627.01,"Gastos de correspondencia: $137.95, Copias certificadas: $445.12, Consultoría externa: $428.53, Gastos de mediación: $136.63, Tasas judiciales: $478.78"
